Title,Company,Company Link,Date Posted,Job Link,Insights,Description Snippet,category
Network Planning (Scheduling) Intern,Scoot,,,https://www.linkedin.com/jobs/view/3829102676/?eBP=CwEAAAGOVesnnCgZn5JpehMscQdx1bmnZoPAeH67SlrA8tsrS-ORAXERK9EmNfbAPHFnZBUU8K7aHmK2PA9G0InpARcREn96IqbA71QUhofpJpfMpzJxmvrNJjtuyAAdxZpyP-MVpX4d8YtBJeD7feCEE73T_hxR63BAFuHogvvkH9Awr3rujGMlyoEMx45Wf5m5XdzPx_jHiqzLNSosZ2lcrLN0sFHg6ZlNaxecVYHMevsUGTOWh9MzyJOu7FNMX-hVWPZuWrIEhJZ20QmkmSYEwRRlKpDqZITlEsrM2mfo7jUax_EklPcIGJLApJezm71QeKiO9BAJtJmWtYkBPlUC95q8ATzYPMSK2A-D8NobPZ7wGn99YfV6UCipJEPUaHi6eEL9qx8Pw6DUI2HhJahrTn67fNka&refId=cGgLFAWcBm4lNIAcNJ3rqA%3D%3D&trackingId=rWN557pewv2Rf8rFC8axJQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Summary

We are looking for an intern to support our Network Planning (Scheduling) team!

Responsibilities

Job Description

Automate schedule templates for checks


 Schedule cleanup
Come up with template to identify variance between historics timing, current operating and BOP preferred timings, allowing for auto update from individual systems
Identify where bock time can be reduced by comparing recommended with actual and other airline’s filing on same route, allowing for auto update from individual systems
Identify gaps for connectivity, based on passenger numbers
 Create template to check regulatory filing against active broadsheet, including crossover flights


Requirements


Undergraduates in any related discipline 
Comfortable with excel and data
Able to commit for minimum of 6 months


Posted on Feb 16, 2024.",intern
Programmes and Administrative Intern,Waterways Watch Society,,,https://www.linkedin.com/jobs/view/3812658831/?eBP=CwEAAAGOVgVkRJggwFqri6FPPk2b4HwG1igteAqIlO3ABx__NITcyuPrio_KPDvHiV4fWznPaAKEdfA4G3szgQZ0t6Fc2lQ6OMMbnNY5fWWUMqZeT9PTRgLkIDtlpvPyjcu3fYJ2k4tR1Bf5h2paZOKYBIeL5m9ck8OVT5zVVVvATJgSapNixs2YcLAFwndac7EEvpqZUrpgMWYOVJSOZ2BkaEz-HqbwXV8D80h2Iz9te_LizrMMyCX_Gn-8P9AF6XMS3AL-DMtc7Zu9-k5x0lUAUdOc08pLjAcDeeELjDT-vq4gbYCzauweDmlDZC16wbGxQD162Pd0T1zUdnFsxUhrQa8f9kWhIa36J3eBdQbB-hTRiXlFbhHH0BysyNSRdcS8dq0qduLnkv60qTJ1UOd9mFvn7YrEt0PpIF5v-dVTUerxwKxpcE9x&refId=bwRNgwSztq3BoQZmYrl4pg%3D%3D&trackingId=Xp%2Bm6MuAnqTmkLcO9nz%2FtQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

We're looking for team players with a passion for sustainable environment change to join our team on a full-time internship. The ideal candidate is someone who loves the environment, enjoys being outdoors but also able to function in an office environment.




The society operates on weekends, so applicants must be able to commit a half-day to work during weekends (either Saturday or Sunday). In essence, it will be a 5.5 day work week. We are flexible with regards to the weekend day the applicant is more comfortable with. We are also open to part-time internships of at least 5 days a week. The remuneration will be pro-rated accordingly.




Our team is lean and the successful candidate will be taking on multiple roles across different job functions which include:




Business development
Administration
Marketing
Education and outreach
Volunteer management




Job description

Conduct environmental programmes (on Foot, Bicycle, Kayak, Pedal-boat, Boat etc) to various corporates and schools (from pre-schools to large corporates, MNCs etc)
Administrative work which includes but is not limited to coordinating and managing volunteers with various background and age groups; update various systems (Salesforce CRM system, Excel, PowerPoint, etc).
Present at educational talks and exhibitions
Handles communication with staff, volunteers and public
Leadership quality to lead patrols and educational programmes on foot, bicycles and kayaks would be an advantage.




Required skills




Proficient in written and spoken English to liaise with businesses, schools and members of the public
Able to cycle to lead cycling patrols and activities
Able to multi-task and work independently where required, High EQ
A plus if you are able to produce video content and well versed with social media skills
A plus if you do hold a 1 Star kayaking certification

Posted on Jan 28, 2024.",intern
Algorithm Development Internship – Summer 2024,Hudson River Trading,,,https://www.linkedin.com/jobs/view/3706426752/?eBP=CwEAAAGOVgbF2mPiNpfzWEzpyMVR-IPOUWLLkiYVVHnGgnOJxUObIJTJc1fztGe9WvryQkikKlm93NktFD4iqQhliw4olnsSLgz0Qth6fEeHrAZqLy4jegBZcmkJTpVmDZRqoZjb-BDLcXPbxaeNh74zrhw0Lv7GqHEHBDFYNFvveeUW-4e6sKlMVYWqYhRMtLPLuT59PppoGD6ZHX0ikpZzPLqthgl9KVV4RiC-jFe9uN8Y5O3y6pKHYJLgEyqxOxcp2LOkpwRnR_oZn6xER63H2ApPcwpUjlyXpp6S5EiinoHsQpg6Ef4Fp4IZSY3_o4sosxSJDUsZraodv25Mvj3mqsU4AV6qSWvafEE1oBQKrorZbIjSJ0ZKM1MgprV-0H8o2nSPaCwIInEpTFlTUH3chI8x5Tp6&refId=Nl7A8S6y7Mhgl36DPlUK%2Fg%3D%3D&trackingId=lmMEznOeCKYM%2FYExWbGU4g%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Please only apply to one job posting. We recommend you apply for the position/office you are most interested in. Upon review of your application, if your skill sets are better suited for another position, we will reach out and let you know. If you are interested in multiple offices, you will have the opportunity to indicate that below in the application questions. 

HRT is seeking exceptional full-time students to join our Algorithm Development summer internship program. Algorithm Developers at HRT focus on the research and implementation of automated trading strategies. As an intern, you will have the opportunity to rotate between our high-frequency trading, multi-frequency trading, and/or machine learning teams. In close collaboration with your mentors, you will apply sophisticated quantitative modeling techniques to understand and predict market behavior and write software to improve our trading strategies.

We are looking for quantitatively-driven and practically-minded programmers, scientists, and mathematicians who are excited to collaborate with others to solve the most challenging problems in our field.

What To Expect


Leverage our proprietary infrastructure (Python/C++) in conjunction with third-party tools to conduct quantitative research and data analysis
Use machine learning and time series techniques to derive novel insights regarding market behavior from large and complex datasets
Work on real projects in close collaboration with experienced researchers, traders, and developers
Use our world-class compute cluster to run simulations and crunch data
Build predictive models for financial markets using a combination of market and non-market data
Attend and participate in Tech Talks that provide an overview of markets and HRT’s trading philosophy
Enjoy a curriculum of speakers, trading games, mentorships, and social events throughout the summer


Requirements


You are a full-time undergraduate, masters, or PhD student in a quantitative discipline (math, physics, computer science, statistics, or a related program) who is eligible for full-time roles in 2025
Experience programming in Python is a must; C++ is a plus for those interested in high-frequency trading
Experience with statistical analysis, numerical programming, or machine learning in Python, Pandas/Numpy, R, and/or MATLAB
A passion for applying quantitative models and technology toward solving real-world problems
Strong communication skills


Culture

Hudson River Trading (HRT) brings a scientific approach to trading financial products. We have built one of the world's most sophisticated computing environments for research and development. Our researchers are at the forefront of innovation in the world of algorithmic trading.

At HRT we welcome a variety of expertise: mathematics and computer science, physics and engineering, media and tech. We’re a community of self-starters who are motivated by the excitement of being at the cutting edge of automation in every part of our organization—from trading, to business operations, to recruiting and beyond. We value openness and transparency, and celebrate great ideas from HRT veterans and new hires alike. At HRT we’re friends and colleagues – whether we are sharing a meal, playing the latest board game, or writing elegant code. We embrace a culture of togetherness that extends far beyond the walls of our office.

Feel like you belong at HRT? Our goal is to find the best people and bring them together to do great work in a place where everyone is valued. HRT is proud of our diverse staff; we have offices all over the globe and benefit from our varied and unique perspectives. HRT is an equal opportunity employer; so whoever you are we’d love to get to know you.

Posted on Aug 28, 2023.",intern
News Desk Intern (CNBC) (Jun 2024 - Jan 2025),CNBC,,19/3/24,https://www.linkedin.com/jobs/view/3840245650/?eBP=NON_CHARGEABLE_CHANNEL&refId=L1k79yZeDI6LMFJmWDi6xg%3D%3D&trackingId=yoG4047Vhb6991UOq3pWGw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Company Description

NBCUNIVERSAL INTERNATIONAL

We create world-class content, which we distribute across our portfolio of film, television, and streaming, and bring to life through our theme parks and consumer experiences. We own and operate leading entertainment and news brands, including NBC, NBC News, MSNBC, CNBC, NBC Sports, Telemundo, NBC Local Stations, Bravo, USA Network, and Peacock, our premium ad-supported streaming service. We produce and distribute premier filmed entertainment and programming through Universal Filmed Entertainment Group and Universal Studio Group, and have world-renowned theme parks and attractions through Universal Destinations & Experiences. NBCUniversal is a subsidiary of Comcast Corporation.

Here you can be your authentic self. As a company uniquely positioned to educate, entertain and empower through our platforms, Comcast NBCUniversal stands for including everyone. Our Diversity, Equity and Inclusion initiatives, coupled with our Corporate Social Responsibility work, is informed by our employees, audiences, park guests and the communities in which we live. We strive to foster a diverse, equitable and inclusive culture where our employees feel supported, embraced and heard. Together, we’ll continue to create and deliver content that reflects the current and ever-changing face of the world.

CNBC INTERNATIONAL

CNBC is the world’s number one business and financial news network. Its mission is to help the influential and aspirational make astute decisions to get ahead by providing live market updates, breaking news, in-depth analysis and exclusive interviews.

CNBC’s vast portfolio includes CNBC.com, the online destination for global business; CNBC PRO, the network’s premium subscription service that provides real-time global market data and market analysis, as well as a growing slate of live and virtual events where consumers can experience CNBC’s award-winning journalism, live.

With headquarters in New Jersey, London, Singapore, and Abu Dhabi, CNBC provides a truly global 24-hour business briefing for senior business leaders, the financial community and those with assets to invest or protect. Today the channel is available in more than 392 million homes worldwide. CNBC also boasts a growing audience across its social media and digital video platforms.

Visit www.cnbc.com for more information.

NBCUniversal is the parent company of CNBC.

Job Description

The News Desk Intern supports the News Desk to ensure CNBC offers world-class content on global business and finance through guest interviews. You will learn how to ask intelligent, tough and balanced questions to high profile key stakeholders in the global business and finance industry. This role is ideal for university undergraduates aspiring to explore a career in TV news production and journalism. You enjoy interacting with people, and have keen interests and passion in business, economics, and financial markets and international relations. There will also be opportunities to learn about business and markets, as well as the fundamentals of journalism.

Your Responsibilities Include, But Not Limited To


Meet and greet C-suite guests and key industry stakeholders at CNBC Studio located at SGX Centre
Set guests up and interact with them prior to their interview segments on the TV shows
Create daily highlights and send them to key clients and affiliates
Learn how major global news networks react to breaking news and cover them with guests professionally
Learn how to pitch to news makers and market movers to come on to CNBC TV shows for interviews
Assist the News Desk to grow and build relationships with guests, companies, PR agencies and financial institutions in APAC


Qualifications


University undergraduates majoring in business, economics, mass communication and/or media production
Keen interest in business news, economics, financial markets & current affairs
Excellent verbal and written communication, organizational and interpersonal skills to engage and interact with both internal and external stakeholders at varying levels
Ability to prioritize a variety of tasks while operating under tight deadlines
Ability to work in a face-paced, high-tension live news environment
Willingness to learn and pro-actively take initiative
Fluency in English language is essential
Flexible to work early morning shifts


Additional Information

NBCUniversal's policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law. NBCUniversal will consider for employment qualified applicants with criminal histories in a manner consistent with relevant legal requirements, including the City of Los Angeles Fair Chance Initiative For Hiring Ordinance, where applicable.

Posted on Feb 26, 2024.",intern
Digital News Intern (CNBC) (Jun 2024 - Jan 2025),CNBC,,19/3/24,https://www.linkedin.com/jobs/view/3840244676/?eBP=NON_CHARGEABLE_CHANNEL&refId=L1k79yZeDI6LMFJmWDi6xg%3D%3D&trackingId=HjO8B9T9lIOi5i65YwiinA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Company Description

NBCUNIVERSAL INTERNATIONAL

We create world-class content, which we distribute across our portfolio of film, television, and streaming, and bring to life through our theme parks and consumer experiences. We own and operate leading entertainment and news brands, including NBC, NBC News, MSNBC, CNBC, NBC Sports, Telemundo, NBC Local Stations, Bravo, USA Network, and Peacock, our premium ad-supported streaming service. We produce and distribute premier filmed entertainment and programming through Universal Filmed Entertainment Group and Universal Studio Group, and have world-renowned theme parks and attractions through Universal Destinations & Experiences. NBCUniversal is a subsidiary of Comcast Corporation.

Here you can be your authentic self. As a company uniquely positioned to educate, entertain and empower through our platforms, Comcast NBCUniversal stands for including everyone. Our Diversity, Equity and Inclusion initiatives, coupled with our Corporate Social Responsibility work, is informed by our employees, audiences, park guests and the communities in which we live. We strive to foster a diverse, equitable and inclusive culture where our employees feel supported, embraced and heard. Together, we’ll continue to create and deliver content that reflects the current and ever-changing face of the world.

CNBC INTERNATIONAL

CNBC is the world’s number one business and financial news network. Its mission is to help the influential and aspirational make astute decisions to get ahead by providing live market updates, breaking news, in-depth analysis and exclusive interviews.

CNBC’s vast portfolio includes CNBC.com, the online destination for global business; CNBC PRO, the network’s premium subscription service that provides real-time global market data and market analysis, as well as a growing slate of live and virtual events where consumers can experience CNBC’s award-winning journalism, live.

With headquarters in New Jersey, London, Singapore, and Abu Dhabi, CNBC provides a truly global 24-hour business briefing for senior business leaders, the financial community and those with assets to invest or protect. Today the channel is available in more than 392 million homes worldwide. CNBC also boasts a growing audience across its social media and digital video platforms.

Visit www.cnbc.com for more information.

NBCUniversal is the parent company of CNBC.

Job Description

The Digital News Intern supports the Digital Reporters, Correspondents and Editors in publishing news stories on CNBC.com website. This role is ideal for university undergraduates aspiring to explore a career in news journalism. You have keen interests and passion in business, economics, and financial markets. There will also be opportunities to learn about business and markets, as well as the fundamentals of journalism.

Your Responsibilities Include, But Not Limited To


Report and write news stories via a multimedia platform under the guidance of the Editor
Learn how to leverage on charts, images and videos to create compelling news stories
Assist the Digital team to ingest articles from partner organizations into a content management system
Research and fact-find news stories for the TV show production teams
Clip videos for CNBC.com website
Be involved in sharing, discussing and/or pitching ideas for news stories


Qualifications


University undergraduates majoring in business, economics, mass communication and/or media production
Keen interest in business news, economics, and financial markets
Ability to prioritize a variety of tasks while operating under tight deadlines
Ability to work in a face-paced news environment
Excellent verbal and written communication, organizational and interpersonal skills to engage and interact with stakeholders at varying levels
Willingness to learn and pro-actively take initiative
Fluency in English language is essential
Flexible to work morning shifts


Additional Information

NBCUniversal's policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law. NBCUniversal will consider for employment qualified applicants with criminal histories in a manner consistent with relevant legal requirements, including the City of Los Angeles Fair Chance Initiative For Hiring Ordinance, where applicable.

Posted on Feb 26, 2024.",intern
Human Resources Intern,Kacific Broadband Satellites Group,,19/3/24,https://www.linkedin.com/jobs/view/3861521878/?eBP=NON_CHARGEABLE_CHANNEL&refId=L1k79yZeDI6LMFJmWDi6xg%3D%3D&trackingId=aYU4piqFpsHpYjITLmjTuA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Kacific is a next-generation broadband satellite operator. We are committed to providing universal, fast, high-quality broadband access at an affordable cost using robust technologies and an agile business model. 

 

Founded in 2013 by a core team of senior satellite professionals, Kacific is backed by investors with global telecommunications and infrastructure experience. Our first Ka-band high throughput satellite, Kacific1, launched in 2019 to stream high-speed, low-cost, ultra-reliable broadband to rural and suburban areas of the Pacific and Southeast Asia.

 

The HR & Admin team at Kacific manages and delivers core HR operations functions across the organization, covering the full employee life cycle, such as recruitment, onboarding and offboarding, employment relations, compensation and benefits, learning and development, and human capital matters.

 

The HR Intern should have strong communication and writing skills and keep abreast of the latest developments in employment legislation to determine how the company’s HR policies may be affected. The role does not require technical skills and could include managing internal data, developing creative solutions to improve processes, and accessing relevant information for the team.




Job Description: 

Assist in reviewing, drafting, and enhancing people policies, including Employee Leave Benefits, Staff Benefits Policy, and HR Policies, ensuring alignment with best practices and regulatory requirements.
Manage employment-related agreements and documents, such as letters, to ensure accuracy, compliance, and efficient documentation processes.
Support employee engagement and communications projects within Singapore and the Southeast/Pacific Region. Promote staff activities in accordance with Kacific’s core values, involving effective liaison with vendors.
Contribute to Learning & Development initiatives, conducting skill-gap analyses, researching training programs/courses, and collaborating with vendors. Maintain an updated tracking list to monitor progress.
Provide support for End-to-End Internship Recruitment processes, including sourcing, screening, and interviewing job candidates. Ensure a seamless and positive candidate experience.
Develop communication materials that articulate the company’s culture, values, and expected behaviors, fostering a cohesive and inclusive work environment.
Establish and maintain administrative systems and processes for effective management of correspondences, documentation, compliance, reporting requirements, and budget and expense management.
Assist in organising and executing internal wellness and engagement activities, (e.g. National Day, Deepavali, etc).
Undertake other ad-hoc projects as assigned, demonstrating flexibility and adaptability in handling diverse tasks.




Qualifications:

Currently pursuing a degree in Human Resources, Business Administration, or a related field.
Strong organizational and multitasking abilities.
Excellent communication and interpersonal skills.
Proficiency in MS Office Suite.
Proactive and self-motivated.
Ability to maintain confidentiality and handle sensitive information.
Team player with a positive attitude.
Willingness to learn and contribute to various HR functions.

Posted on Mar 19, 2024.",intern
Design Intern (Footwear),CHARLES & KEITH GROUP,,19/3/24,https://www.linkedin.com/jobs/view/3861522294/?eBP=NON_CHARGEABLE_CHANNEL&refId=L1k79yZeDI6LMFJmWDi6xg%3D%3D&trackingId=Nds5cxJsE1g3WF07IeAMVQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

RESPONSIBILITIES

Support designers in creating sketches or technical drawings for development
Take part in design development, product launches and logistics
Ensure studio remains a conducive work environment
Other ad-hoc duties assigned




REQUIREMENTS

Bachelor’s Degree in Fashion/Accessories or related education
Possess Adobe Photoshop and Illustrator skills
Able to commit at least 6 months internship
Passion for the Fashion industry
Great interpersonal and communication skills
Fun, vibrant and outgoing personality with a positive attitude

Posted on Mar 19, 2024.",intern
eCommerce Intern,OATSIDE,,19/3/24,https://www.linkedin.com/jobs/view/3863409725/?eBP=NON_CHARGEABLE_CHANNEL&refId=L1k79yZeDI6LMFJmWDi6xg%3D%3D&trackingId=SksSGlfdbtu0VGIzqJrahA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

As an E-commerce Intern at Oatside, you will play a crucial role in supporting our online retail operations. You will gain hands-on experience in various aspects of e-commerce, including website management, customer service, digital marketing, and data analysis.

 

Responsibilities:




Website Management:

Assist in updating product listings, descriptions, and images on the e-commerce platform.
Monitor website performance and identify areas for improvement in user experience.
Collaborate with the marketing team to ensure consistent branding and messaging across the website.

 

Customer Service:

Respond to customer inquiries and resolve issues in a timely and professional manner.
Manage customer feedback and reviews, leveraging insights to enhance the overall shopping experience.
Work closely with the fulfilment team to track orders and address any shipping-related concerns.

 

Digital Marketing Support:

Aid in the execution of digital marketing campaigns, including email marketing, social media promotions, and paid advertising.
Assist in creating engaging content for social media platforms to drive traffic and engagement.
Help analyze campaign performance metrics to optimize marketing strategies and maximize ROI.

 

eRetailer Campaign Management:

Collaborate with eRetailer partners to plan and execute promotional campaigns, such as discounts, bundle deals, and sponsored placements.
Draft artwork briefs and manage timelines of deliverables 
Coordinate with internal teams to ensure timely delivery of promotional materials and inventory availability for eRetailer campaigns.
Monitor campaign performance on eRetailer platforms, analyzing metrics such as click-through rates, conversion rates, and sales volume.




 

Requirements:

Currently enrolled in a bachelor's degree program, preferably in business, marketing, communications, etc 
Strong organizational skills and attention to detail.
Proficiency in Microsoft Office suite (Word, Excel, PowerPoint)
Familiarity with e-commerce platforms is a plus but not necessary 

 

Posted on Mar 19, 2024.",intern
"Intern, Engineering",The Ascott Limited,,18/3/24,https://www.linkedin.com/jobs/view/3862024586/?eBP=NON_CHARGEABLE_CHANNEL&refId=nBxBFFVOtZoioPARSqH4lA%3D%3D&trackingId=GKdkVOPig%2FWZ2%2FPbfN0Sqw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
About Us

CapitaLand Group ( CapitaLand ) is one of Asia’s largest diversified real estate groups. Headquartered in Singapore, CapitaLand’s portfolio focuses on real estate investment management and real estate development, and spans across more than 260 cities in over 40 countries.

Job Description

Intern, Operation

You will oversee the general maintenance and minor repairs of equipment, facilities in our Serviced Residence. You will have close collaborations with colleagues from the different departments including Guest Service and Housekeeping to provide a smooth and pleasant stay for all our residents. You will report directly to the Manager or Assistant Manager, Engineering.

Responsibilities

You will:


Maintain good physical conditions of the building and ensure that its heating, lighting and ventilation are of good working condition
Conduct general maintenance works such as, painting, patching of walls, plumbing facilities, air-conditioning servicing, electrical switches and other fixtures and equipment to ensure smooth operations
Perform routine preventive maintenance programme
Check and inspect the building's machinery and equipment
Respond and prioritise maintenance requisitions ( MWO ) and residents' requests to ensure they receive quality service and furnishings
Perform related tasks as assigned


Closing Statement:

At CapitaLand, we advocate fair employment practices, and recruit talents based on merit and fit with our Corporate values. We provide equal opportunity for all qualified persons and build an inclusive workplace regardless of race, gender, age, religious belief or nationality.

Only shortlisted candidates will be notified.

Posted on Mar 18, 2024.",intern
Intern - Credit Risk,Bunge,,18/3/24,https://www.linkedin.com/jobs/view/3858555780/?eBP=NON_CHARGEABLE_CHANNEL&refId=nBxBFFVOtZoioPARSqH4lA%3D%3D&trackingId=OT73Sr6iqwWQaeS%2F1s6X0A%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
This position will support the credit analysis / approval of counterparties as well as the preparation of credit reports in accordance with the company’s credit policies and standard processes.

Main Accountabilities


Coordinate and prepare annual reviews for approval
Prepare credit request for new counterparty approval and limit increase
Assist in testing and implementation of new credit risk system
Streamline / maintain limit master list and database records
Monitor default risk indicators and market news to detect counterparty distress
Generate monthly / weekly exposure and AR reports
Recommend improvements to credit scorecard by incorporating new ratios, financial data or graphics
Enhance exposure reporting process using Tableau, Macros or other tools


Internship Duration


Able to commit approximately at least 6 to 9 months from May/June/Jul/Aug 2024 to Dec2024/Jan2025
Actual start and end date can be discussed. 
Able to commit at least 4 working days per week.


Education/Experience


Currently studying towards a Bachelor’s degree or diploma in Accounting, Finance, Economics,Computer Science, Engineering or related discipline
Good written and verbal communication skills in English

Posted on Mar 18, 2024.",intern
