company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id,category
StateStreet Global Advisor Pvt Ltd,UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required,0 - 0 yrs,Banking / Financial Services / Broking,"Job Description   Send me Jobs like this Assisting staff in validating CDD documentation provided by the business for Customers from State Street business units and sourcing other CDD documentation independently from various websites and vendors Ensuring, all missing documentation is tracked and received from the State Street business units. Reviewing and tracking CDD documentation for all Customers in line with applicable AML Policies & Procedures Assisting or completing the necessary forms and documentation is required to support CDD Screening Customers names and other parties against various lists Notifying local management of operational issues  Assisting staff in completing Anti-Money Laundering risk assessment using corporate compliance tools prior to account opening and on an on-going basis Engaging with other State Street business units in providing updates and in delivering reports Interact with Oversight team as required Gathering and compiling MIS on status CDD and underlying investors Salary: As per the company norms Industry: Banking / Financial Services / Broking Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Operations Role:Operations Manager Keyskills Compliance Screening Aml Anti Money Laundering Account Opening Risk Assessment KYC Desired Candidate Profile REQUIREMENTS: Education and Experience FresherSkills/Knowledge *Enquiring mind and ability to investigate and problem solve*Excellent organizational and administrative skills - ability to keep meticulous records*Ability to communicate confidently, efficiently and clearly in both written and verbal forms*Strong time management skills*Flexibility in reprioritizing tasks*Excellent Microsoft Excel and Word skills*Ability to perform effectively to strict deadlines*Should be flexible and willing to work in shiftsNote:- This is for an internship position for 6 months. Confirmation depends on the available positions and performance over 6 months Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: StateStreet Global Advisor Pvt Ltd State Street Services India Private Limited (formerly known as SSGA Investment Research Services Private Limited) is a wholly owned subsidiary of State Street Corporation, USA. SSGA is the investment management business of State Street Corporation, a leading provider of financial services to institutional investors. Within SSGA, we employ a diverse group of investment professionals across our worldwide locations and investment centers. As an organization, we are committed to Corporate Social Responsibility. Active engagement with our communities around the world, both as a partner and a leader, is a fundamental value at State Street. The development of our employees personally and professionally is a top priority. This commitment to performance excellence contributes to our firm's success. SSGA's world-class operational platform features 29 global offices, 10 investment centers and a 24-hour global trading capability with trading desks in Boston, London and Hong Kong. This platform allows SSGA to share with clients the best ideas and points of view from experts around the globe. Download PPT Photo 1   View Contact Details",131016002725,Bengaluru,Trainee/intern,,As per the company norms,2016-10-13 16:20:56 +0000,,ITES,54c5dcae1205f005984947567c7eaa38,intern
Quess Corp Ltd.,,0 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Are you Looking out of job? Hurry Up!!Spot offer!!contact Are you looking out of job? Hurry up!! Contact Archana @7204053756 Company:-Accenture /Infosys /HGS /Firstsource /Mphasis /CONCENTRIX / /HCL,MINACS, etc Designation: - CSR/TSR (customer support, technical support) Process: - ""Networking"" ""telecom"" ""customer"" ""technical"" Location: - Bangalore Salary:-15k to 23k (depending on the quality Experience) Cab facility provided till door step Contact Person Miss. Archana A Contact number 7204053756 Interview time: 10.30 AM start Interview Venue details:- (IKYA group) Note: - Refer your friends and come along with your friends who are looking out for Job. Spot offer Letter. Regards, ARCHANA 7204053756 Recruitment Consultant. Salary:INR 2,00,000 - 4,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Customer support Senior Customer support Good communication skill Desired Candidate Profile Please refer to the Job description above Company Profile: Quess Corp Ltd. www.ikyaglobal.com Download PPT Photo 1   View Contact Details",70916000382,Bengaluru,Huge Requirements for International Voice.call Archana,,"2,00,000 - 4,00,000 P.A",2016-10-11 16:20:58 +0000,,ITES,0a07fcd488d38f7ffc89b26201f5a156,intern
Confidential,UG: Any Graduate - Any Specialization,2 - 4 yrs,Recruitment / Staffing,"Job Description   Send me Jobs like this Sourcing and Screening the Candidates as per Company Requirement (Mid to Senior Level across Department/Function) Developing and managing Candidate pool Attracting new candidates via networking, internal database, job portals, references, Headhunting & campus. Maintaining call cycles for selected pool of candidates Candidate Management during recruitment process and after selection. Monitor online portals and incoming emails for new job opportunities Arranging interviews, preparing candidates for interview, taking timely feedback from the Internal Stake Holders Supervised time management (weekly). Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills Recruitment Head Hunting Screening Talent Acquisition Hiring Selection Interviewing Sourcing Time Management Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",200416900056,Bengaluru,Talent Acquisition Specialist / Recruiter(internal Hiring),,Not Disclosed by Recruiter,2016-10-10 16:21:02 +0000,,HR,9a4e2e837464d3d10e459fdfd481f8cf,intern
Creative Indians hiring for A leading client of Creative Indians,,4 - 7 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Must have 4+ yrs. of exp in ... Territory management Order Management Sales operation Team leading SFDC (Salesforce.com) Please send cv at Pooja@creativeindians.com if you have exp in Territory Management & Sales operations (Of BPO sector) Salary:INR 5,50,000 - 6,50,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Back Office/Web/Transaction Processing Role:Team Leader -(NonTechnical) Keyskills Leadership Team Leading Territory Management Order Management ETM Enterprise Territory Management Salesforce SFDC Hoovers Sales operation Data Management Mappning Desired Candidate Profile Excellent English communication skills (Verbal & Written) Willing to work in Rotational Shift Company Profile: Creative Indians A leading client of Creative Indians International BPO Download PPT Photo 1   View Contact Details",120916002906,Bengaluru,Team Lead - Sales Operations (international BPO),4.0,"5,50,000 - 6,50,000 P.A",2016-10-11 16:21:03 +0000,,ITES,2a09e1f01a61059bc1621b08642fcc4a,intern
UCC Tours and Travel,,0 - 4 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this Requirement for part time internet based work Promotion of Tourism services. You can earn up to Rs.4000 to 6000 per week. No Time Bound, No Skill required. Complete training provided to Members Mr. Rohit 9004266119 Miss. Zikra 8286135899 Salary:INR 2,00,000 - 3,75,000 P.A. All Payments are weekly basis. Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Other Role:Fresher Keyskills Part Time work from home freelance part time job fresher oubound part leave online marketing Direct Marketing Gm Marketing email marketing web marketing Desired Candidate Profile Please refer to the Job description above Company Profile: UCC Tours and Travel UCC Tours and Travel It a tourism industries. ISO Certified company and Registered in mca(ministry of corporate affairs) Download PPT Photo 1   View Contact Details",101016000004,"Jaipur, Kolkata, Vasai, Thane, Mumbai, Navi Mumbai, Mumbai Suburbs, Hyderabad, Bengaluru",On the Internet Part-time Work for Almost all and Everybody,,"2,00,000 - 3,75,000 P.A. All Payments are weekly basis.",2016-10-10 16:21:03 +0000,,Marketing,1b145f5b61f7d0d6fc7cac46c02c0587,intern
Black and White Business Solutions Pvt Ltd hiring for Client of Black and white Busiess solutions,"UG: Any Graduate - Any Specialization, Any Specialization, Any Specialization PG:Any Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Any Specialization, Any Specialization, Doctorate Not Required",0 - 4 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Hiring for MNC BPO, Day shift 2 way cab. One day interview process... just 2 rounds of interview... Process Name : Customer Support Officer, (Voice and Non Voice) Designation :  Customer Support Executive Process : Banking Customer Support , International Banking                       Process, SME Process Sal : Fresher sal 20K, Experience sal up to 4 L. Process Name : Technical Support Officer, Designation : Technical Support Executive Process : Technical Support , IT Help Desk, Trouble Shooting, Hardware and Networking Process, SME Process. Sal : Fresher sal 20K, Experience sal up to 4 L. Work Location : Bangalore Salary Package : up to 3.5Lpa. Cab Services : Free Pick & Drop Rounds of Interviews : HR Round / Manager Round Engaged in handling calls of Enterprise & different business units (Internal & External) Provide World Class Customer Service. End to Transaction of Reports. Need to maintain Accuracy in Reports. Ability to work effectively in a team environment. Pleasant, professional, and courteous personality. Excellent verbal and written communication skills. Strong administrative skills: organized, efficient and versatile. Strong customer service approach to dealing with people at all levels internal and external. Skills Rotational Shifts Graduates or Undergraduates fresher or  with BPO Experience (0-5yrs) Immediate joiners. Salary:INR 2,00,000 - 3,00,000 P.A. Best in the industry + Incentives + NSA Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills Call Centre call center bpo customer support executive customer service executive customer care executive call center bpo bpo call center technical support engineer technical support executive CSR CSE Bpo Non Voice Desired Candidate Profile Desired Candidate Profile  *Possess good analytical skills - detail oriented *Possess good communication skills, both oral and written *Have a good attitude - should be committed to the work Education- UG: Any Graduate - Any Specialization, Any Specialization, Any Specialization PG:Any Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Any Specialization, Any Specialization, Doctorate Not Required Company Profile: Black and White Business Solutions Pvt Ltd Client of Black and white Busiess solutions Incorporated in 2006, Black & White Business Solutions Pvt Ltd has been the training and staffing industry""s leader and innovator, and today, has evolved as a premier provider of manpower for some of the fortune 500 companies for their junior/middle & executive talent management staffing needs. We work with our clients hand on hand to overcome the challenges they face in attracting / interviewing and retaining Junior / Middle & Top Management professionals, Black & White recruitment services range from executive, corporate governance, Top Management, ITES, IT and Non IT industries. Download PPT Photo 1   View Contact Details",101016000740,Bengaluru,"International BPO, Domestic BPO, Contact Gayathri",25.0,"2,00,000 - 3,00,000 P.A. Best in the industry + Incentives + NSA",2016-10-10 16:21:03 +0000,,ITES,6bd61a1d99b842980db670f5f5b95cfd,intern
Ikya Human Capital Solutions Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,0 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this International voice process jobs in banking process Perks and benefits: Salary: Irrespective of experience if you get through the interview salary will be 3.3 lakhs per annum (22k take home) Allowance, Incentives, Cab facility, Attendance bonus We have huge openings for Banking voice process jobs where You will be the first point of contact to the International customers of the bank You can get associated with International and domestic banks and explore the greater avenues in the field of banking You can synchronize your good speaking skills or relevant exp in voice process with the wish to make your career in banking sector The process is basically into inbound process not in outbound Pre-requisites to apply for this job Are you a graduate if not do you have voice process experience then you can apply! Looking for Candidate with excellent communication skills in english We are looking for immediate joiners!! Should be willing to work in UK shift Note: IKYA Human capital solutions is one of the top recruitment service providing organisation in India and when we say service we dont charge anything. We just help you to get the relevant job Job location: Bangalore Eligibility: Fresher/Experienced Shifts: UK shift Customer service in banking process Customer service is an important, but broad concept in the banking industry. In essence, banks are service-based businesses, so most of their activities involve elements of service. Customer service managers generally deal directly with service issues, but several other common banking jobs involve service. Banking process is a highly specialized sourcing strategy used by banks and lending institutions to support the business acquisition and account servicing activities associated with the customer lending lifecycle. These specific services are usually offered through multi-year service-level agreements of the financial services market. Duties Handle transactions and answer customer queries Decipher customer needs and offer the best solution based on proper company policies Effectively communicate ideas, suggestions and answers Refer customers to people who specialize with the type of problem or query they present Complete complex money-related transactions Offer upgrades and new banking services or products Skills Effective listener and communicator Good problem solving and troubleshooting skills Ability to follow instructions and procedures up to the tiniest detail Keen eye for detail and the drive to serve satisfactorily Career path...Where you can see yourself down the line From being the first point of contact to customers of the bank you can be the key person in operations of the bank in future date. It depends upon you how you put your dedication and passion to seek growth in the industry and also how to explore the existing opportunities in the bank you are working or the industry you are into. Do you have the required skills and wish to make your career in banking sector then apply to this job sending your resume to shwetha.ca@ikyaglobal.com or for quick response call @ 9611209386 and fix up your interview Regards CA Shwetha Recruitment consultant-ITES/BPO IKYA Human capital solutions Bangalore Ikya Human Capital Solutions, A Unit of Quess corp, 2nd floor, Raheja Arcade, Beside Punjab grill, Koramangala, Bangalore Landmark: Opposite to Forum mall, Koramangala Contact details Mob: 9611209386 Email : shwetha.ca@ikyaglobal.com â€ƒ Salary:INR 3,00,000 - 3,75,000 P.A. Allowance, Incentives, Cab facility, Attendance bonus Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills International Voice Process voice process mortgage credits UAE process Indigo banking bpo outbound Cold Calling calls inbound cross selling home loans solving phone customer care Fraud Specialist Sales first point ocwen scope HSBC XL dynamics SBI Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Company Profile: Ikya Human Capital Solutions Pvt Ltd IKYA is the fastest growing HR solutions provider in India, offering world-class services to over 5000+ locations across the country including leading MNCs and large Indian firms across industries and helping nearly 84,000 associates enhance their careers every year. Download PPT Photo 1   View Contact Details",121016000472,Bengaluru Bangalore,Process jobs in Leading Company for International Voice Process,27.0,"3,00,000 - 3,75,000 P.A. Allowance, Incentives, Cab facility, Attendance bonus",2016-10-12 16:21:04 +0000,,ITES,a4d50b9ffbaf1d982286ab0dd890ad15,intern
The Job Factory hiring for International Call Center,,0 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Are you a Fresher/Experienced ( 6 month International Call Center Experience) with Good Communication Skills in English and Looking out for an Opportunity to Join a Call Center / BPO. shift are available for day/uk/us/aus shift call Linda 9538878905 Salary:INR 1,75,000 - 3,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills BPO International Call Center Calling Communication Skills INTERNATIONAL VOICE PROCESS VOICE PROCESS CSR call center inbound Desired Candidate Profile It helpdesk,service desk ,customer support,customer service,technical support,voice or semi voice process,banking process,call center voice,bpo,inbound voice process,outbound voice process, call Linda 9538878905 Company Profile: The Job Factory International Call Center Salary:- Starts with 1.5L/A to 3.5L/A based on experience 2 Copies of Resume 1 Passport photograph Interview Details:- MONDAY TO FRIDAY: 1:30 PM TO 4:00 PM SATURDAY: 11:30 AM T0 3:00 PM call (LINDA-9538878905) Then heres a Chance to All you Download PPT Photo 1   View Contact Details",101016004731,Bengaluru,"STEP OUT YOUR Dream IN International CALL Center""call Linda 9538878905",,"1,75,000 - 3,00,000 P.A",2016-10-10 16:21:05 +0000,,ITES,ef327ee1735e970d9a04ce2ac4c5dadf,intern
Hindco Recruitment Consultants hiring for A Leading Pharma / Healthcare Group,"UG: B.Sc - Any Specialization, Chemistry, B.Tech/B.E. - Any Specialization, Chemical PG:MBA/PGDM - Any Specialization",10 - 20 yrs,Pharma / Biotech / Clinical Research,"Job Description   Send me Jobs like this - To plan, acquire, execute & achieve business goal in assigned business area - To identify strategic business development opportunities in market & create new revenue Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Sales , Retail , Business Development Role Category:Senior Management Role:Head/VP/GM/National Manager -Sales Keyskills International Sales Sanofi Merck MSD BMS Serdia Dr Reddys Glaxosmithkline Torrent Glenmark Sandoz Cipla Novo Nordisk Lupin Business Development Alembic Alkem JB Chemical Indoco Manish Pharma Unimark Russia Desired Candidate Profile - Candidate must have atleast 12-15 yrs of experience of handling Russia / CIS market from reputed pharma company. - Must have excellent communication skills. Education- UG: B.Sc - Any Specialization, Chemistry, B.Tech/B.E. - Any Specialization, Chemical PG:MBA/PGDM - Any Specialization Company Profile: Hindco Recruitment Consultants A Leading Pharma / Healthcare Group - A leading company in pharma formulation business across the globe. - One of the best Pharma Company to work with Download PPT Photo 1   View Contact Details",10916006684,"Ahmedabad, Mumbai, Delhi NCR, Chennai, Bengaluru, Hyderabad",GM - International Sales & Marketing - Russia / CIS | Pharma,,Not Disclosed by Recruiter,2016-10-11 16:21:06 +0000,,Sales,aa83a60c4cecad463b3eca7bb18d25d0,intern
IZEE MANPOWER CONSULTANCY PRIVATE LIMITED,"UG: Other Graduate, B.Tech/B.E. - Any Specialization, B.B.A / B.M.S - Management, B.Com - Commerce, B.Sc - Any Specialization, Diploma - Any Specialization, B.A - Any Specialization, BCA - Computers, B.Ed - Education, BHM - Hotel Management PG:Other, PG Diploma - Any Specialization",1 - 6 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Warm Greetings From Izee manpower Dear Candidates, we are hiring for our current openings into Top MNC's for voice process with Sal upto 5.5LPA.. Qualification: 10+2/10+3 with minimum 6months exp in iccv Technical process Hotel Reservation process Salary:INR 2,00,000 - 5,50,000 P.A. + Incentives Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Customer Service Operations Technical Services Bpo Hiring BPO ITES Technical Support IT Help Desk international voice Desired Candidate Profile Please refer to the Job description above Education- UG: Other Graduate, B.Tech/B.E. - Any Specialization, B.B.A / B.M.S - Management, B.Com - Commerce, B.Sc - Any Specialization, Diploma - Any Specialization, B.A - Any Specialization, BCA - Computers, B.Ed - Education, BHM - Hotel Management PG:Other, PG Diploma - Any Specialization Company Profile: IZEE MANPOWER CONSULTANCY PRIVATE LIMITED IZee Manpower is a leading , professional organization servicing a host of fortune 500 clients across verticals and training expertise in soft skills communication and personality development Download PPT Photo 1   View Contact Details",121016000764,Bengaluru,"Call Center,international Bpo,voice Process Sal up to 5.5L Cal Chahath",,"2,00,000 - 5,50,000 P.A. + Incentives",2016-10-12 16:21:07 +0000,,ITES,13f359045c9e786579b192bd414cef5e,intern
