company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id,category
find live infotech,UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization,0 - 0 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this Qualifications: - == > 10th To Graduation & Any Skill: - == > Basic Computer Knowledge Job Requirement : - == > System or Laptop Type of job: - == > Full Time or Part time Languages : - == > Tamil & English. Experience : - == > Freshers & Experience payment details: - 1 form per day 5/- 10 form per day 50/- 100 form per day 500/- monthly you can earn 15000/- per month Selection Process: - == > Easy Selection Process,So What Are You Waiting For? Apply Now & Grab Best Opportunity To Make Your Carrier & To Improve Your Earing Skills. Chennai Peoples Only Contact Deepika Team Leader 9087728815 / 9087726713 Salary:INR 1,50,000 - 2,50,000 P.A. 20000 Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Online/Digital Marketing Role:Search Engine Marketing/SEM Specialist Keyskills Data Entry data processing Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: find live infotech Find Live Infotech is one of our main projects, it is a developing search engine site based at chennai , India. With years of experience , we have crafted massive data collection job oppurtunties for public. Find live infotech provides other business opportunities which will be handled by experts of various fields Download PPT Photo 1   View Contact Details",210516002391,Chennai,Work Based Onhome Based Part Time.,60.0,"1,50,000 - 2,50,000 P.A. 20000",2016-05-21 19:30:00 +0000,,Marketing,d4c72325e57f89f364812b5ed5a795f0,pt
all for kids,UG: Any Graduate - Any Specialization PG:Post Graduation Not Required,0 - 5 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this Heads & TEACHERS: India's leading classes in English Elocution need energetic Women in Bangalore. Part Time Work for experienced as well as those new to Teaching. Best in industry pay. Email your resume to elocutionteachers@gmail.com Salary: Not Disclosed by Recruiter Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:Teachers Role:Junior/Primary/Assistant Teacher Keyskills Teaching English language skills Extremely good with kids Teacher Desired Candidate Profile Dedicated, committed, loves to teach kids. Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Company Profile: all for kids India's leading classes in English Elocution & Public speaking Download PPT Photo 1   View Contact Details",40613000071,Bengaluru,Part Time Teachers - Bangalore /whitefield/gunjur/hrbr Layout/banswadi,,Not Disclosed by Recruiter,2016-10-12 16:20:59 +0000,,Teaching,b00eeeab2c5a42e9d019ffa53fbe2a5d,pt
United Capital Club,"UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Diploma - Any Specialization, B.Com - Commerce, B.A - Any Specialization",0 - 1 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this There are so many people spending 2 to 3 hour on internet. Here is an opportunity where you can earn initially 3k to 8k per week by spending just 2 to 3 hour per day at office or at home at your leisure time also. Anisha 9502349603 (HR) Salary:INR 2,00,000 - 4,00,000 P.A Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Part Time work from home freelance full time computer operator marketing online internet marketing data entry freshers call center multilevelmarketing mass communication promotinal work internet surfing Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Diploma - Any Specialization, B.Com - Commerce, B.A - Any Specialization Company Profile: United Capital Club The services provided by UCC include pre-arranged tours, custom packages according to customers' specifications, requirements & budget. UCC seeks to differentiate itself as a brand more than a vendor in the tourism sector. Download PPT Photo 1   View Contact Details",200716005010,"Delhi, Hyderabad, Dehradun, Mumbai, Bengaluru, Jaipur",Available Part time / full time work at Top M.n.c Company-9502349603,25.0,"2,00,000 - 4,00,000 P.A",2016-10-12 16:21:00 +0000,,Sales,3755895113748b1880cd61a4706e6957,pt
United Capital Club,"UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce, B.A - Any Specialization PG:MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers",0 - 1 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this We Are Looking For Fresher/Experienced Work Online Tourism Promotion And Earn High Income. Complete Training Provided To All Active Members. .good teamwork sklills .communication skills .creativity Miss Zareena 8105581378 Salary:INR 3,75,000 - 4,50,000 P.A Industry: BPO / Call Centre / ITES Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Part Time work from home fresher freelancer computer operator internet marketing online marketing web marketing sales email marketing business development promotion work through through internet online business copy and paste working Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce, B.A - Any Specialization PG:MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers Company Profile: United Capital Club The services provided by UCC include pre-arranged tours, custom packages according to customers' specifications, requirements & budget. UCC seeks to differentiate itself as a brand more than a vendor in the tourism sector. Download PPT Photo 1   View Contact Details",250716002646,"Bengaluru, Hyderabad, Delhi NCR, Mumbai, Dehradun, Jaipur, Kolkata",Part time Add Posting - Copy Paste Work at your free Time-8105581378,25.0,"3,75,000 - 4,50,000 P.A",2016-10-12 16:21:06 +0000,,Sales,14d966e81727b686896ab2d4820aef53,pt
Jashya Systems,UG: Graduation Not Required PG:Any Postgraduate Doctorate:Doctorate Not Required,0 - 3 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Plan and execute a full spectrum of SEO ,SEM ,SMO activities . Specialized in Web Marketing field with a focus in promotion of our websites. Should work on new SEO techniques and SEO strategies. Should be good in organic search techniques. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills SEO SMO SEM Web Marketing Web Technologies Desired Candidate Profile Please refer to the Job description above Education- UG: Graduation Not Required PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Jashya Systems Jashya Systems emerged as one of the pioneers in strategic offshore outsourcing. It provides consulting and IT services to clients globally from SMB's to MNC's and various companies worldwide. Download PPT Photo 1   View Contact Details",101016000256,"Bengaluru, Hyderabad",Looking FOR Part-time JOB Seekers,4.0,Not Disclosed by Recruiter,2016-10-10 16:21:20 +0000,,Sales,2652d70465df04e694b892e35c412505,pt
Xecutesmart,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, We are looking for online trainer, who can work as a part-time. Linux Administrator Unix Administrator Sun solaris Administrator windows Administrator Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Solaris Administration Linux Administration Unix Administration Sun Solaris Linux Scripting Redhat Linux Unix Shell Scripting admin Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xecutesmart Xecutesmart is a global IT services provider headquartered in Phoenix, Arizona, USA and Chennai, India. Founded in 2008.The company enables enterprises to transform their business using Cloud CRM and Analytics. In addition, we also provide Product En Download PPT Photo 1   View Contact Details",110915001234,"Chennai , Hyderabad / Secunderabad","Online Trainer - Unix,linux,sun Solaris Admin - Part-time",10.0,"1,00,000 - 5,00,000 P.A",2015-12-10 01:32:56 +0000,,IT Software - Application Programming,ad7202a94188817f50228a34117dc65d,pt
Xecutesmart,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, We are looking for online trainer, who can work as a part-time. Oracle Technologies: Oracle ADF Oracle 11g DBA Oracle 12c Admin Oracle ADF Oracle Apex Oracle AIA Oracle ATG Oracle Data Integrator Oracle Dmantra Oracle Endeca Oracle Exadata Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Oracle Oracle Training pl sql Oracle ADF Oracle 11g DBA Oracle 12c Admin oracle apex oracle aia oracle atg oracle data integrator oracle dmantra oracle endeca oracle exadata Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xecutesmart Xecutesmart is a global IT services provider headquartered in Phoenix, Arizona, USA and Chennai, India. Founded in 2008.The company enables enterprises to transform their business using Cloud CRM and Analytics. In addition, we also provide Product En Download PPT Photo 1   View Contact Details",40915005106,"Chennai , Hyderabad / Secunderabad",Online Trainer - Oracle Technologies - Part-time,10.0,"1,00,000 - 5,00,000 P.A",2015-12-10 01:33:00 +0000,,IT Software - Application Programming,0007ba55137eeb144c3408795db4cd4f,pt
Xecutesmart,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, We are looking for online trainer, who can work as a part-time. SAS CDM SAS Clinical SAS BI Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Sas Programming Sas Reporting sas sas cdm sas clinical sas bi sas business intelligence Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xecutesmart Xecutesmart is a global IT services provider headquartered in Phoenix, Arizona, USA and Chennai, India. Founded in 2008.The company enables enterprises to transform their business using Cloud CRM and Analytics. In addition, we also provide Product En Download PPT Photo 1   View Contact Details",110915001396,"Chennai , Hyderabad / Secunderabad","Online Trainer - SAS Cdm,sas Clinical,sas BI- Part-time",10.0,"1,00,000 - 5,00,000 P.A",2015-12-10 01:33:03 +0000,,IT Software - Application Programming,e2010bdd163b81a11dbd3a09bbdee261,pt
Federation Of Indian Women Entrepreneurs,"UG: Any Graduate - Any Specialization, Graduation Not Required, Diploma - Any Specialization, Fashion Designing/Other Designing, Graphic/ Web Designing PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 8 yrs,NGO / Social Services / Regulators / Industry Associations,"Job Description   Send me Jobs like this Excellent opportunity to be a Government Certified Examiner, working for Government projects. Conduct Textile exam. Travel to take exams. Salary : Rs.1500-1800 per day + travel allowance etc. 3 to 10 exams per Month. Salary:INR Less Than 50,000 P.A. Rs.1500 per day + travel allowance - assured 10 days / month Industry: NGO / Social Services / Regulators / Industry Associations Functional Area: Teaching , Education , Training , Counselling Role Category:Other Role:Other Keyskills Teacher Lecturer Examiner Freelancer textile Textile Manufacturing Spinning Weaving Ring Frame Dofer Ring Frame Tenter Content Writing Textiles Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required, Diploma - Any Specialization, Fashion Designing/Other Designing, Graphic/ Web Designing PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Should have Completed B.Tech /Diploma in Textile, B.Sc in Textile Manufacturing. Should have relevant 3 years of experience in Industry or Teaching. Willing to travel 10-15 days in a month. Company Profile: Federation Of Indian Women Entrepreneurs FIWE is national level NGO of repute, providing training & employment opportunities to youth. Empanelled with Govt. of India to conduct skill development and assessment/ testing of candidates from training providers, Having offices country wide. Download PPT Photo 1   View Contact Details",190915004369,"Bengaluru/Bangalore , Hyderabad / Secunderabad , Chennai , Bhubaneshwar",Teacher/ Trainer / Faculty- Textile(part Time),,"Less Than 50,000 P.A. Rs.1500 per day + travel allowance - assured 10 days / month",2015-11-28 01:33:04 +0000,,Teaching,489b4d58723101b8e99b96fce2e9f698,pt
Indian Healthcare BPO,"UG: B.Sc - Bio-Chemistry, Biology, Botany, Home science, Microbiology, Nursing, Zoology, B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, BDS - Dentistry, B.Pharma - Pharmacy, BVSC - Veterinary Science PG:Post Graduation Not Required, M.Sc - Bio-Chemistry, Biology, Botany, Home science, Microbiology, Nursing, Zoology, M.Pharma - Pharmacy Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this WANTED FRESHER / EXPERIENCED FOR MEDICAL TRANSCRIPTION. HOME BASED, PART TIME JOB AVAILABLE WITH FIXED SALARY. TRAINING PROVIDED FOR FRESHER. ON-LINE TRAINING AVAILABLE. ACCOMMODATION SUPPORT GIVEN. DAY SHIFT JOB. GOOD SALARY / INCENTIVES. Salary:INR 2,00,000 - 5,00,000 P.A. Incentives & Benefits as per Corporate Standards Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Medical Transcriptionist Keyskills bpt nursing pharmacy Microbiology biotech zoo biochemistry botony bhms bams dmlt Medical Writing Medical Billing Medical Transcription Medical and Healthcare and Hospitals PART TIME DAY SHIFT HEALTHCARE Fresher and Trainee FRESHER Desired Candidate Profile Education- UG: B.Sc - Bio-Chemistry, Biology, Botany, Home science, Microbiology, Nursing, Zoology, B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, BDS - Dentistry, B.Pharma - Pharmacy, BVSC - Veterinary Science PG:Post Graduation Not Required, M.Sc - Bio-Chemistry, Biology, Botany, Home science, Microbiology, Nursing, Zoology, M.Pharma - Pharmacy Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required WANTED FRESHER / EXPERIENCED FOR MEDICAL TRANSCRIPTION. HOME BASED, PART TIME JOB AVAILABLE WITH FIXED SALARY. TRAINING PROVIDED FOR FRESHER. ON-LINE TRAINING AVAILABLE. ACCOMMODATION SUPPORT GIVEN. DAY SHIFT JOB. GOOD SALARY / INCENTIVES. Company Profile: Indian Healthcare BPO Indian Healthcare BPO is a training division of iSouce ITES Pvt Ltd. We provide training with placement for Medical Transcription, Coding and Billing for life science and medical graduates. Download PPT Photo 1   View Contact Details",251013003179,"Chennai , Bengaluru/Bangalore , Hyderabad / Secunderabad",Home Based / Part time Medical Transcription,50.0,"2,00,000 - 5,00,000 P.A. Incentives & Benefits as per Corporate Standards",2015-11-30 01:33:04 +0000,,ITES,4f5d76be1c9c33426ce4156428b622be,pt
