Title,Company,Company Link,Date Posted,Job Link,Insights,Description Snippet,category
Assistant Engineer - Electrical (SUBMARINE),ST Engineering,,19/3/24,https://www.linkedin.com/jobs/view/3861508741/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=tQit3Z4MmeEpuU0CjEUWvQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Job description:



Responsibilities:

 

Perform maintenance of marine electrical system/component in workshops and onboard vessels
Supervise a team of Electricians in planned and corrective maintenance
Perform corrective maintenance and planned maintenance
Perform electrical wiring, cabling and modification of electrical circuit.
Test electrical systems and continuity of circuits in electrical wiring, equipment and fixtures, using testing devices such as Multimeter, Insulation tester and Process calibrator
Participate in the repair of electrical components in workshop and onboard ships.

 

Requirements:

 

Diploma / NTC/ Higher NTC in Electrical Engineering and related field.
Preferably with at least 3 years working experience in electrical repairs and maintenance.
Experience in testing/calibration of high/low voltage equipment or fault analysis
Knowledge in both electrical/electronic system
Experience in DC system will be advantageous
Able to read electrical circuit drawings.
Preferably to have experience in DC/AC motors, Generators, Switchboards and Circuit breakers.
Able to perform troubleshooting and fault rectification during daily operations
Positive-attitude and having initiative to perform all works allocated to him
Willing to work in outdoor condition e.g heat, oil and dust
Willing to work in Changi area
Only Singapore Citizens need apply

 

Other Information:
 

Location: Changi
Transport provided at: Jurong West & East, Jalan Bahar, Choa Chu Kang MRT, Bukit Panjang, Woodlands MRT, Bukit Merah, Sengkang, Pasir Ris MRT, Tampines MRT, Tanah Merah MRT
5 days work week
Working Hours: 7.45am-5pm

Posted on Mar 19, 2024.",junior
Sales And Marketing Specialist,Euphoria Organisation,,19/3/24,https://www.linkedin.com/jobs/view/3861513007/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=JAdslA41rIMHMOrqec5PjA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Year of Working Experience: 0 - 1 years




NO EXPERIENCE NEEDED!!!

We are looking for individuals who are driven to learn, be ambitious and strives to lead a team! 




Are you someone who aspires to dream and attain great achievements in your career?




If YES, read on!

We are looking for individuals like you to join us at Euphoria Organisations. 




What we look for: 

- Excellent ethics and positive learning attitude 

- An outgoing Personality 

- Leadership potential and ready to take on challenges 

- A great Team Player and enjoys interactions with people




What’s In It For You: 

1. One -on- One Mentorship & Support Systems 

2. Performance based 

3. Business #advancement 

4. Highly-motivated, #fun & #family - like environment 

5. #travelling opportunities 




Sounds like something you are seeking for? If #yes , GREAT ADVENTURE awaits you!

APPLY NOW!! #applynow

Posted on Mar 19, 2024.",junior
Ecommerce Merchandise Associate,CHARLES & KEITH GROUP,,19/3/24,https://www.linkedin.com/jobs/view/3830318473/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=IiMQy8bNlYLNBFekwFlB0Q%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Responsibilities:

Prepare materials for seasonal buys – including linesheets, lookbooks.
Collate imagery, product information/data enrichment for different wholesale account’s product launches
Track shipping schedule and update delivery reports for key accounts.
Manage and maintain critical path files, ensuring latest information are accurately updated.
Raise billing invoices, credit notes and cancellation in SAP.
Able to liaise with internal and external stakeholders in clear and timely manner.
Support and responsible for operational administration tasks in wholesale and western markets matters.
Assist to undertake ad-hoc assignments when required.




Requirements:

Min GCE N/O Levels, Diploma/Degree in Business Administration, or related discipline.
Proficiency in Microsoft Office (Excel, powerpoint, Word)
Prior knowledge of SAP will be an advantage.
Preferably 1 year experience in related inventory/wholesale management/administration.
Able to multi-task with excellent organization skills and meticulous in work assigned.
Able to work under a tight timeline in a fast-paced environment
Flexibility and adaptability to cross between time zones and departments.

Posted on Feb 19, 2024.",junior
Recruitment Consultant,Hey Rocket,,19/3/24,https://www.linkedin.com/jobs/view/3863417399/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=j5%2BC06ilx2yJxf7tS3grbA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

We are looking for an energetic, hungry and motivated individual to join our fast growing team! The selected individual will work closely with his/her team leader or manager as well as with the founders of the company in the daily activities. A fun and flexible working environment for sure! Endless opportunities for career progression and uncapped commission.




The selected individual will be working within the Search function of our business, working on both client acquisition and candidates search for our esteemed partners in the aviation, healthcare, logistics, F&B, services, hospitality, manufacturing industry and more!




Job Responsibilities




Identify and bring in new clients
Handle full spectrum of recruitment matters
Identifying and pitching to clients in identified sectors
Work with clients to understand their talent needs
Search/engage with potential candidates and advise candidates on available roles
Profile candidates accordingly and present to clients
Facilitate interviews for shortlisted candidates
Candidate management work / sales operations work
Chinese speaking capability is an added advantage in order to liaise with mandarin speaking clients and candidates




Qualifications/Requirements

Able to meet strict deadlines
Possess enthusiasm for recruitment
Demonstrate effective communication and interpersonal skills
Independently motivated and driven

Posted on Mar 19, 2024.",junior
"Client Executive, Digital",WE Communications,,19/3/24,https://www.linkedin.com/jobs/view/3863414970/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=2q1TWReW8GAUPMPny2mLwg%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Job Responsibilities




Client Relationship & Business Management




Support day-to-day client relationship, campaign or project development, and execution for clients
Execute solid project management skills to oversee the execution of all creative and content marketing work align with client’s briefs
Manage content production delivery including but not limited to thought-leadership articles, whitepaper, sales toolkit, customer case studies and other high-value asset development
Work collaboratively with strategists & planners, video producers, writers and designers
Habitually on top of inspiring, cutting-edge trends and development in digital or in client’s industry
Be able to provide sound counsel to clients; comfortable with making content and performance marketing recommendations to clients
Contribute to new business development process and organic client growth
Proactively contribute towards improving processes, operations, best practices and emerging issues




Digital Specialism




Drive the research direction and insights for the development of social media content calendars and digital campaigns, crafting engaging content and strategies.
Conceptualises, plan, and operate demand generation and lead generation campaigns through test-and-learn approaches
Manage native social media platforms (Facebook, Instagram, LinkedIn, Twitter, and YouTube), as well as third-party social media management platforms (Sprinklr, Hootsuite, Falcon).
Utilise social listening tools (Talkwalker), social media analytics (Socialbakers), Google/Adobe Analytics, CMS (WordPress), marketing automation tools, and keyword/SEO tools.
Execute paid social and content campaigns, including setup, management, optimization, and reporting.
Manage email marketing programmes and website CMS builds
Writing skills with demonstrated ability to write social-friendly copy and package content to drive maximum engagement on social media
Design, monitor and report on measurements and KPIs




Job Requirements:

Minimum 1-year experience in social media, media, advertising, or B2B digital marketing-related fields
Familiarity with planning and executing campaigns across social media platforms (Facebook, Twitter, Instagram, LinkedIn, etc.) or advertising (display, SEM, social advertising, etc.) is a big plus.
Basic understanding of PR and earned media principles.
Passion for digital-first and performance communications in both B2B and public sector brands.
Integrated thinking and ability to connect digital channel ecosystems.
Basic understanding of Google Analytics; knowledge of Adobe Analytics, Adobe Experience Manager is a plus
Experience in Account-based Marketing (ABM) or account-based marketing platforms such as Demandbase is a plus
Basic knowledge of SEM, SEO, CRM and CMS is a plus
Able to adapt to new conditions and fast-paced environment
Self-motivated and self-starting personality
Enjoys diverse and multi-cultural working environment
Able to work both independently, as part of a team and with senior leaders
Able to manage multiple tasks concurrently in a deadline-driven process




--

Equal Opportunity: WE provides equal employment opportunity and does not discriminate against an employee or applicant because of age, race, color, religion, gender, national origin, veteran status, disability, sexual orientation, gender identity, marital status, or other legally protected class status.




Diversity and Inclusion: WE values a diverse and inclusive workforce and is committed to creating a workplace where everyone thrives. We promote an atmosphere in which diversity of people and ideas are welcomed and valued. Diversity includes differences in race, religion, gender, age,

lifestyle, ethnic background and sexual orientation as well as differences in experiences and ideas




Applicants are encouraged to submit their applications without their self-portrait, information on age, race, color, religion, gender, national origin, veteran status, disability, sexual orientation, gender identity, marital status, or other legally protected class status.

Posted on Mar 19, 2024.",junior
Creative / Content Creator,WE Communications,,19/3/24,https://www.linkedin.com/jobs/view/3863415872/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=4r9FPHiDJcGU38BXbIHtDQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Purpose of the Position:




Part of WE's Creative team, you will be responsible for brainstorming and conceptualizing ideas for visual elements such as layouts, illustrations, photography, typography, and graphics. You will work closely with our client and creative team to ensure that all designs meet the client's objectives and brand standards, across campaigns, digital and print work.




We're building a creative team of the future that mixes fresh creativity with cutting-edge technology to create compelling content for people, businesses, and brands. A large part of the role will see the evolution into a Designer of the future, embracing Generative AI, with software, tools, and efficiency to produce scale content. This role will champion and drive R&D for AI-infused creative and content processes.




--

Responsibilities:

 

Develop design concepts and create high-quality visual designs for a variety of projects, including digital and communications campaigns for social media platforms with a focus on LinkedIn, Twitter, and Facebook for B2B/ B2C industries (Tech / Healthcare / Sustainability/ Tourism ) and the public sector
Collaborate with project managers and cross-functional teams to ensure that all design projects are completed on time 
Contribute to the expansion of WE's creative portfolio such as creating Instagram, YouTube, and TikTok content; and using creative tools such as AR / VR / UIUX / video automation/ gaming/ audio/ experiential
Draw inspiration from content on platforms such as TikTok, Instagram, and apply it in your client work or contribute to creative sprints at WE
Evolve the agency’s capabilities in creative and data-driven storytelling through technology
Research and develop ways of working with Generative AI tools and propose methodologies that improve scale, efficiency and quality of creative work in the agency




Qualifications:

 

Relevant experience as a Designer in production, advertising, social media, public relations, or related fields.
A design portfolio is required
Excellent eye for design and attention to detail
Self-motivated and self-starting personality
Able to thrive in a fast-paced team environment (frequent tight deadlines, multitasking, etc)
Enjoys diverse and multi-cultural working environment
Able to work both independently, as part of a team and with senior leaders
Creative thinker and innovator with expertise in pop culture and emerging digital/social trends and technologies
Keen interest in pushing the envelope of creative ideas in B2B industries (Tech / Healthcare / Sustainability/ Tourism) and the public sector
Strong proficiency in Adobe Creative Suite, including Photoshop, Illustrator, and InDesign AND/OR other similar creative tools is a must
Regularly consumes content creation on social media and understands trends and formats. Bonus if applicant is a content creator him/herself
Sharing your social media handle or portfolio/ showreel (e.g. YouTube/ TikTok/ Instagram etc) which showcases your content creation abilities (personal or work) is a plus.




Equal Opportunity: WE provides equal employment opportunity and does not discriminate against an employee or applicant because of age, race, color, religion, gender, national origin, veteran status, disability, sexual orientation, gender identity, marital status, or other legally protected class status.




Diversity and Inclusion: WE values a diverse and inclusive workforce and is committed to creating a workplace where everyone thrives. We promote an atmosphere in which diversity of people and ideas are welcomed and valued. Diversity includes differences in race, religion, gender, age, lifestyle, ethnic background and sexual orientation as well as differences in experiences and ideas




Applicants are encouraged to submit their applications without their self-portrait, information on age, race, color, religion, gender, national origin, veteran status, disability, sexual orientation, gender identity, marital status, or other legally protected class status.

Posted on Mar 19, 2024.",junior
Unix Linux Administrator,RAPSYS TECHNOLOGIES PTE LTD,,19/3/24,https://www.linkedin.com/jobs/view/3861507425/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=rtQILFnUmIaomoLob4zPrg%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Linux admin experience – 6-8 yrs VMware expertise RedHat certification Storage configurations and expertise Backup and monitoring of Infrastructure




Linux admin experience – 6-8 yrs

VMware expertise

RedHat certification

Storage configurations and expertise

Backup and monitoring of Infrastructure




R&R

Build linux Infrastructure

System performance monitoring

Capacity planning

Coordinate and implement patches and hotfixes

Maintain system security

fix application vulnerabilities




Posted on Mar 19, 2024.",junior
Temp for Migrant Workers' Centre,National Trades Union Congress (NTUC),,19/3/24,https://www.linkedin.com/jobs/view/3861510070/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=NcmSKz878iSqy%2BdA6hEC%2Bw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

About Migrant Workers Centre (MWC)

 

Set up in 2009, the Migrant Workers’ Centre (MWC) is a bipartite initiative of the National Trades Union Congress (NTUC) and the Singapore National Employers Federation (SNEF). The MWC is a non-government organisation whose mission is to champion fair employment practices and the well-being of migrant workers in Singapore.

 

MWC is seeking to hire part-time Temp to support its membership recruitment. 




Responsibilities: 

· Engage migrant workers on the content prepared by MWC

· Escalate complicated queries (which are not found in training materials or FAQ) to any MWC staff on site or to the hotline provided

· Propose changes to enhance the operation or engaging of the workers, if any

· Assist with preparing daily and/or monthly reports, if any

· Other duties as assigned by supervisor.

· Prefer someone who can speak in one of the migrant workers’ native languages (eg. Mandarin, Tamil, Bengali, Thai), as they need to interact with the migrant workers. 

 

The duties we expect of a candidate who performs this role include:

· Explaining the value proposition to migrant workers for them (workers) to understand the value of being an MWC member, 

· Apply critical thinking and creative solutioning skills should they encounter issues in signing up of members, 

· Interact with the workers to solicit feedback on how the recruitment can be enhanced; and 

· Articulate these findings to the PT’s supervisor(s).

· Prefers someone who can commit till December 2024

 




Details of the MWC membership program can be found here: https://www.mwc.org.sg/







Work Location : 

Sengkang West (please note the work environment is non-airconditioned)




Work hours: 

2pm to 5pm (Monday – Friday)

Posted on Mar 19, 2024.",junior
Client Executive,WE Communications,,19/3/24,https://www.linkedin.com/jobs/view/3863414538/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=5kpLkFVZrhKdOerm%2F91frw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

RESPONSIBILITIES




Client Servicing:

Begin anticipating client communication challenges & develop recommendations
Contribute to development & implementation of communication strategies
Execute tasks associated with projects; may lead certain aspects of project
Oversee client meetings, agendas & recaps
Begin to understand clients’ business model from a global perspective; understand key markets, global influencers and the impact on client/business narrative




Media & Influencer Engagement:

Ability to develop and pitch story angles to media on behalf of clients
Develop an understanding of media and KOL landscape, including identifying new media / KOLS to outreach to on behalf of clients and actively cultivate relationships
Build understanding of news agenda and issues that might impact clients and share with the team
Cultivate writing abilities via pitch notes, simple media releases, and social copy
Ability to manage multiple influencers and other third-party vendors in alignment with communication strategies
Oversee management of inbound media requests and proactively influence and garner coverage
Conduct media monitoring on behalf of clients and provide timely and in-depth analysis of coverage results and trends
Craft & customize influencer pitches & social media content
Contribute ideas & brainstorm on media/ influencer strategies
Maintain media / KOL lists




New Business Development:

Become familiar with WE capabilities across the agency including global region specialties in comparison to competitor agencies
Serve in a lead research role on organic growth new business efforts including sourcing and gathering audience, industry or competitor market data
Begin to develop and nurture network of peer contacts outside the agency




REQUIREMENTS

A minimum Diploma or Bachelor’s degree in Communications or Business in Marketing
At least 6 months of working experience in the communications field, preferably experienced in a PR agency environment
Open to Fresh Graduate Applicants
A basic grasp of public relations, earned media principles, and social media strategies
Able to thrive in a fast-paced team environment (frequent tight deadlines, multitasking, etc)
Ability to write and communicate well in English
Self-motivated and self-starting personality
Enjoys diverse and multi-cultural working environment
Able to work both independently, as part of a team, and with senior leaders
Strong interest in the Corporate/ Tourism sector is a bonus




--

Equal Opportunity: WE provides equal employment opportunity and does not discriminate against an employee or applicant because of age, race, color, religion, gender, national origin, veteran status, disability, sexual orientation, gender identity, marital status, or other legally protected class status.




Diversity and Inclusion: WE values a diverse and inclusive workforce and is committed to creating a workplace where everyone thrives. We promote an atmosphere in which diversity of people and ideas are welcomed and valued. Diversity includes differences in race, religion, gender, age, lifestyle, ethnic background and sexual orientation as well as differences in experiences and ideas




Applicants are encouraged to submit their applications without their self-portrait, information on age, race, color, religion, gender, national origin, veteran status, disability, sexual orientation, gender identity, marital status, or other legally protected class status.

Posted on Mar 19, 2024.",junior
Guest Service Officer,Plaza Premium Group,,19/3/24,https://www.linkedin.com/jobs/view/3863404407/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=FBabxN2EkmgrH6jtNQxmbQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

About the Company

Hello! Welcome to Plaza Premium Group, we're people passionate about ""Making Travel Better"". We are a global company with team members from all walks of life, together we are #PPGFamily, together we are building a legacy. You don't need to be from this industry, you do need to be passionate.




Our promise to you:

We will respect and value your background and perspectives
We will work together with integrity
We will share our incredible pride for job, company and industry




What we ask of you:

Bring passion to all that you do
Listen, move fast and think innovatively
Speak up, have ideas and share them
Believe in customer service, and treating every person with kindness




As industry leaders in innovating global airport hospitality you will work with colleagues from all parts of the world for a truly global experience. You will help and craft services and facilities in over 200 locations in more than 60 international airports across the world.




We were established in HK in 1998 by someone who understood the value of an airport lounge and felt that the experience shouldn't just be limited to a closed-circuit group of travelers. Through the years we have worked incredibly hard to create an experience which is both accessible and quality. Almost 25 years later we now span four core business segments: airport lounges, airport terminal hotels, airport meet & greet services, and a range of airport dining concepts.




In addition to our own brands, PPG provides airport hospitality solutions to leading airlines, alliances and corporates around the world. Here are a few names you might recognize: Cathay Pacific Airways, Singapore Airlines, Lufthansa etc.




With the future of travel always in sight, we created Smart Traveler, a mobile-app rewards program underpinned by in-house technology. We are fast-moving and always evolving to drive our purpose of making travel better.




Join our family today.

Together, we'll make travel better.




About this position

The Guest Service Officer directly addresses the needs of all guests and ensures an exceptional guest experience. Represents the Hotel & Lounge to the guest throughout all stages of their stay. Determinates a guest's reservation status and identifies their duration of stay.




Responsibilities:

• Register guests and to assigns rooms, accommodating special requests whenever possible.

• Verifies the guest's method of payment and follows established credit-checking procedures.

• Carry out regular checks of all areas, such as food counter, shower room, toilet, internet area to ensure cleanliness and tidiness at all times and the functionality of all facilities.

• Overall, to achieve higher satisfaction level to Company’s target(s) set from time to time and conduct continual improvement to achieve the highest customer satisfaction level.




Requirements:

• Relevant experiences in hotel or customer service is an advantage

• Customer-orientated with a pleasant disposition and the ability to work in a fast-paced environment

• Ability to multi-tasking while maintaining a positive attitude when working with guests and team members

• Computer literate and able to navigate through the company system

• Outgoing, good communication, interpersonal skills, active listening and showing empathy

• Be willing to perform shift work and work on weekends, Public Holidays - 5 days work week

Posted on Mar 19, 2024.",junior
