Title,Company,Company Link,Date Posted,Job Link,Insights,Description Snippet
Full Stack Software Engineer Intern (6 months),Hypotenuse AI,,,https://www.linkedin.com/jobs/view/3852946666/?trk=flagship3_search_srp_jobs,[],"About the job

About Us

Hypotenuse AI is an AI content marketing platform that manages and automates content writing for companies, including product descriptions, advertising text, and blog posts. We're reshaping what takes weeks to do, and turning it into days. Our mission is to power the world's content creation—making it easy, relevant and personal.




We’re building the state-of-the-art in machine learning, with an experienced team from FAANG/AI research and top startups, and are backed by top global investors such as Y Combinator. We have global ambitions and are expanding our team in Singapore. If you're looking for a fast-paced start-up with the opportunity to reshape an industry, come join us! 




Job Description

At Hypotenuse, interns aren’t here to sit on the sidelines or buy coffee. We empower you to make decisions, contribute creatively and think critically. We want self-starters who are entrepreneurial and want a taste of working in a high-growth, fast-moving start-up.




As a software engineer intern at Hypotenuse, your role will span across the full platform, touching on frontend, backend, DevOps and gaining exposure to machine learning models for computer vision and NLP.




Responsibilities include




- Design, develop and maintain applications that are efficient and can handle high traffic

- Design and build APIs/back-end architectures for stable and highly available applications

- Quickly iterate and improve on our application according to user feedback

- Write reusable and reliable code with high test coverage




Requirements:




- Ideally able to commit full-time for 6 months or more

- Good knowledge of HTML, CSS, and Javascript

- Experience with web frameworks — both on the client-side (e.g. React, Angular, Vue, ..) and server side (e.g. Flask / FastAPI / Django)

- Understanding of algorithms/data structures and computer science fundamentals

- Strong written and verbal communication skills

- High adaptability and strong problem-solving skills

- UX design sensibility

Posted on Mar 11, 2024."
Summer Intern,Advisors Alliance Group,,,https://www.linkedin.com/jobs/view/3794663726/?eBP=CwEAAAGOTDGgvTrSrgmB3MtSvK6ID2psYbTwq80vNKWMFhj5sPQeNhD7tZTAiwvLqFdAtxY_YxiMRyMCLVXu1Zisay0eeO4QvmUtmp0qWAmkmHY3nkKARuXHNYtQ9ERw18Q2IcctD0X9OwX3TTN8WzrnLxPEq4fBeEx85AHY5aQpq-WxKn7trhgY1Ii6Ew95SMbnTskQ9I4M7LDH8zxfSqIOU6dgbYuidCE0kobNCgflYJNqLIuC6plBkt2dxtN0bJg8DOy9TzexmyjdZyuup30VTSK0EC_XJcXA7UqtJmENhKENQFoZJkhYvk-H3HH-2EoBy4bFVEhXhf6LZvC3In_dvKmbMOLbNte1u8zwad8o6iJCmuOKmnCOJB-DnsrzswU4mkglYh_GOqwXFoyfkKxCvSFsa12c6d_WRz9VJ0jKIOVNFbtvaw&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=83WD4Mvzut8XART3Yt5o2A%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

CALLING ALL STUDENTS/FRESH GRADS!

This is NOT your average internship experience. Are you looking for a fun, enriching and fulfilling internship experience this summer? This might be the one for you!




Areas of Study:

Foundational Financial Literacy
Financial Portfolio Design & Management
Investment, Wealth & Retirement Planning
Business Management & Principles of Entrepreneurship
Understanding the landscape of the Financial Services Industry










Remuneration & Incentives:

Allowance will be given
Fully Sponsored Overseas Business Camp
Professional Financial Certifications










Eligibility:

min 21 years old & above
min. Diploma/ ‘A’ Level Qualification
Undergrads & ORD personnels are welcome to apply










Program dates: May - July 2024

Posted on Jan 5, 2024."
Summer Internship 2024 - Cyber Intern,Munich Re,,,https://www.linkedin.com/jobs/view/3804650298/?eBP=CwEAAAGOTDGgvXf3VV398Q2dxOSPNaEeP7uEAnxuqpskJXynMk9Jpr_qpdKwCn6RZWPTGcA1UcpvAW9VDY9NsGv8cCAUFWcnLE32rQDYhL4eXAgyOq87EmCXYKpnQiY05Ff-2yKTOzbK2g7Z5lubTgIvEnw05rxTq0mk9ZhWzbIk1nioTpc1DLc6cOkeoQoW1qoE82YVlIbI_kiee5_cbO6dxZ__zOMe6n0wN_2kJM1eNkhwy7j-f2QtqyZyr-YUfUAEGBt8bmnN6yN0y5PriVdfFpRcLiNsV9KfIWIj2B0QldS5si4kkk6jY7DgFGGB8o9E8WfKxiQtOt1bETOzyPMuPFje5Dss14GEk-sYlU19ttOsWjHsLDQ7P_Dz5F7NoQnTMXTBbY8WQw6Yq6lCUkI6rCY&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=%2BLRJ9rdFrrjPlqZ3YZPiFw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Munich Re Group is one of the world’s leading providers of reinsurance. As pioneers in risk assessment, we drive the digital transformation of the global insurance landscape, expanding products and services as new forms of risk emerge. From space rocket launches to cyber-attacks, from high-net worth individuals to pandemics, we take care of risks so our clients can take care of their businesses.

Join us this Summer for our Structured Internship Program from May to August 2024. In addition to gaining valuable work experience alongside industry experts, you will also benefit from ongoing engagement, career development and networking activities.

The APAC cyber team is responsible for the development of Cyber insurance business (commercial and personal lines) within the region. There is a strong focus in underwriting excellence, contributing to the global Munich Re Cyber Ambition. As a market leader, we are well positioned to offer best in class services in the area. We implement those services in close collaboration with our clients and external partners in tailored reinsurance solutions and innovative services, in line with the global strategy.

During your time with Munich Re, you will be working with cyber underwriters and supporting the delivery of services and solutions to our clients to shape and influence the future direction of Cyber within the region.

Your Role


 You will assist in the project management of a core service delivery to clients from across the region
 You will assist in consolidating and preparing high quality materials to support our deliverables to our clients
 You will be required to work very closely and proactively with various client management teams, including offices in Thailand, South Korea, Japan, Australia and Munich
 As required, you will support underwriters in research on company profiles as part of single risk assessments



Your Profile


 Currently pursuing a university degree in Finance, Business, Cyber Security, Computer Science, Law or a recognised insurance qualification
 You must be proactive and a collaborative team player, but be independent in execution
 The work you produce must be professional and of high quality.
 You are a good self-starter/learner, and willing to learn and push boundaries.
 You should be organized and structured
 Strong proficiency in Microsoft Office, Powerpoint (in particular) and OneNote
 Proficiency in project management and related experience would be preferred



At Munich Re, we embrace, and value, the interaction of diverse backgrounds, experiences, perspectives and thought. This interaction is our foundation. Of our open culture and spirit of partnership. Of how our teams are built and cultivated. Of how we are supported and developed. And at the centre of this interaction is each of us.

Posted on Jan 13, 2024."
Software Engineer Intern,Dell Technologies,,,https://www.linkedin.com/jobs/view/3857324929/?eBP=CwEAAAGOTDGgvRvucgcShNnFYVZYOoJBEocWNxLvbUE_0Ve-wgCgnuqlbe-QfNoAZJZ7iwsg0P07mgIdM8xwoUhESQb5FR1POjt1EtCF7y-uhFTP78HAokp3uTMu2MiU1jAB7sgto3sPuEh16rkDaN6AE7xxAJB9R2PZmxqI_aQ9Ecdk8dzJsSMmCT-2Z8QNNATtPT79e0UrK0xfykaSj5317e1oztjqMCKp70FUdsvxY_48HIk8s0Gv6hUwKZD6P8-OsrZ8sAtG9Nwn3lt8Z1EEcJLzBaass_Pq8qW2T-519qiCQmIXV9x-LdBSOLAh5QL2DKRV1je92CcYCDLCe9r6fv3UMa7PocfYwbftmh8T6q2YWWy9s4S5Mhe1m5wtQz9llBAiGJTRsdVLS2V6mwG4u4XD3Q&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=iZn6K98a1q2lv4jMvAVoeA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Dell Technologies is seeking versatile and enthusiastic Software Engineer Interns to drive the vision and execution of Dell Enterprise Edge Initiative. If you are passionate about how edge is revolutionizing the future infrastructure and would like to be part of a team pushing the frontiers of edge computing, come join us and make an impact.

Join us to do the best work of your career and make a profound social impact as a Software Engineer Intern on our Software Engineering Team in Singapore.

What You’ll Achieve

As an Software Engineer Intern, you will Design, Develop, Deploy and Maintain software solutions that contribute to the next generation Edge Technology and Develop distributed, scalable and real-time low-latency solutions in an agile delivery method

You will:


Design, Develop, Deploy and Maintain software solutions that contribute to the next generation Edge Technology 
Develop distributed, scalable and real-time low-latency solutions in an agile delivery method 
Apply your knowledge of Computer Science Engineering to solve real world software engineering problems 


Take the first step towards your dream career

Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:

Essential Requirements


Currently enrolled– Bachelor’s or Master’s degree in Computer Science or related field 
Proficiency in one or more of the programming languages Golang, Python, C++ and Java 
Good understanding of Data Structures and Algorithms 
Excellent analytical and problem-solving skills 


Desirable Requirements


Domain knowledge in one or more areas – IoT / Edge Computing / Linux Kernel / Firmware 
Experience working in Unix/Linux environments 


Who We Are

We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you.

Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.

Dell Technologies is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. Read the full Equal Employment Opportunity Policy here.

Job ID:R242483

Dell’s Flexible & Hybrid Work Culture

At Dell Technologies, we believe our best work is done when flexibility is offered.

We know that freedom and flexibility are crucial to all our employees no matter where you are located and our flexible and hybrid work style allows team members to have the freedom to ideate, be innovative, and drive results their way. To learn more about our work culture, please visit our locations page.

Job Id: R242483

Job Function: Interns

Posted on Mar 13, 2024."
Accounting Intern,KKday,,,https://www.linkedin.com/jobs/view/3843654079/?eBP=CwEAAAGOTDGgvbDXoocF5Kpz-n6isnL14GnAetZ5DvwdRG4FsrMgQvrKf_yLqQC0vsKT-7nCerGtv45sd_a1lnb9nhEL5mqY1pgV7W5LDuUoB9GgSSz2wXQn8MyBEPy7i8NtCN3ungCqv1knFDbgbYrmamhheC4T-kYha_4uXVUULaEe6aS9QC9JNdDXLIQSsHHj4j7nt9wiuGKb1u3j8h_qNhCQ7YHko-mG2CSC00bYF0FY9UT3leJ2CbB3mP_g_zKZGBtHuuPKvhv7FZoFmFWG7JJ_KQnDcWs75nOGCkAJWAyLulsuYVXW0dG17i2V_-_pHCIOebDorokgu2LkdEFEgMS3QcddeNW6M2LDKQllj_H-EBGOsfSxQqbWJgDpgEn4yx6FfIGdLE2bWoKp2DP1Vj2-ew&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=jAzM8s%2BbDJmDeoUy%2B4bulA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

The accounting intern will be assisting the Singapore Assistant Manager with the daily operational work and month-end closing preparation.




Key Responsibilities:

Expected to work closely with external outsource providers to fulfill the following responsibilities:




Support in month-end journal preparation to ensure completeness of all transactions
Bank reconciliation
Reviewing expense payments
Involved in daily trade journal generation, reconciliation and posting
Support for Singapore and Malaysia markets
Any other ad-hoc matters




You’re a great fit for this role if you are: 

Preferably able to start in March 2024, minimum commitment period of 6 months
A student majoring in Accountancy
Organized, analytical and quality-oriented, able to work independently
Team oriented and good interpersonal skills.
Language: Fluent English and/or Chinese

Posted on Mar 6, 2024."
Intern - Structural,Subsea7,,,https://www.linkedin.com/jobs/view/3831345274/?eBP=CwEAAAGOTDGgvTXJ6JAGWLZmAkgVWwUpGItxVYoeeYTeMRouuy0_xwKJBaH3cmtrI91alj0wPM9Zd-lyurFq8Frr5Wwu69gYexOmeFWQNGWgzLRj1YfBNH9oiT7V8mn9GSw4rxFEqt9jE0yz8xxHm7XbIbwohnikNq85-YIB14Rj7twMb_Mct1v_mnG9_3E6kzmkSLVBRkGUFo4QnrOI5JJoa-mPqx2Yqn_i4AYnHt65imblZjZbQYsiVdMjn8fjLrSnt8Ex9vAVLzqc3AiBliHBX_1siZiqMXMhYUEhiC0nI8yQWhdIU9DqdV-ASsZXvN9hdsqn-QR3F4gEA79JppOB9I9OhdP2Wlfhcub8u5Sm5LWY3jhc1gYm1TLM6_Nt1TRJinarumgTDA5iG_b5djDzSqBi6w&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=v27fgi%2FMQnaMMy5htiKh%2BQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
About Us

At Subsea7, we take pride in being recognized globally as a leader across the Energy Industry, with over 80 nationalities across more than 30 countries. For 5 decades our people have delivered over 1000 projects in all water depths across our energy hubs and we continue to do so, adapting and evolving in an ever-changing world.

Our success and sustainability are only made possible by continuing to develop our assets and technology through innovation and collaboration, and most importantly through the development and diversity of our people who every day ‘Make Incredible things Happen’ at Subsea7.

Your mission

Within the Global Projects Centre (Subsea7's centre of excellence for large-scale projects worldwide), the Structures and Piping team in the Design & Analyses Engineering department is responsible for the engineering of subsea permanent structures and temporary structures for offshore installation and transportation for offshore construction projects.

The purpose of the internship is to develop and standardize some tools to check the integrity of structures used for offshore installation and transportation.

The structural design in offshore industry generally follows the requirement of design codes such as, API, AISC, DNV, ISO and EC etc. For the typical design of the structures, the standard checking tools can significantly increase the efficiency of the design work and ensure the quality of the design. At the same time, it can help to align the design in the organization.

The aim of the internship is to:


Develop tools with Mathcad or Excel for some typical structural items used for offshore installation and transportation,
Check the structures against applicable structural design codes,
Develop knowledge of structural design for offshore industry,
Summarise the work in a validation report and specify clear guidelines for future users.



The tool will be used on future projects and, in the near future, also integrated into Subsea7's overall digital development.

Your profile

It is emphasized that the proposed internship candidate possesses a knowledge of structural analysis and some global understanding on structural design.

Student in your last year of Engineering School/Master Degree in University, with Civil or Mechanical Engineering background and advanced knowledge of Microsoft Excel VBA and Mathcad is preferred.

Fluent English is required.

Location

Singapore

Duration

6 months

Subsea 7 is proud to be an equal opportunity employer, committed in creating a diverse workforce and we look to offer excellent career opportunities as you develop your skills and aspirations.

 Along with a wide range of benefits and a flexible working environment, employees can further enhance their work-life balance through our Remote Working Policy.



Posted on Feb 15, 2024."
Engineering Intern (Jan-May'24),Johnson Controls,,,https://www.linkedin.com/jobs/view/3837856535/?eBP=CwEAAAGOTDGgvR8jlu3xKRnx7LmBqzs0rhkPaJstzPBJ18NbrP_KKGRwBZ58vjhcJOXcpJgcuhOdh5rk4Gv6tDqTmTQcYWGi5RuBi_lOh7gEZNtBelZ-5ibN8SVrdxI0P6G1Sn7mFnKj08I19RNmQ_q8C3S04O8cMlPcmQrjlCmt9BZIpeAPOmS46NJetu894SrTY975T9wp7qRxf_QhyVZOlnOHOicqRFjmwuwHlSVTHnI8nfvg8K-0tFEm7hPQi02Rx20BJVqyg9c-4L-QveUEqX1pxGQziXZmqznNamYx5tltn-jCfq81cdt6CpTVjDEM-vt1sr17-34jVBMfaZnPutZGiFyVawNE9acdtOxmtBZ_MPdKBYm1uysACNQoDjEh2_2tjTgVbed-xgnLLeDUg99t3A&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=Udvh8ZnFSGV30C0XROeaxA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
What You Will Do

We are seeking an Engineering Intern to join the Project Delivery, SEA team under the Building Management Systems business, which includes Controls, Fire and Security. This intern will drive customer proposals, project plans, documentation engineering designs and schematics with guidance from the team. The successful individual will work closely with stakeholders to identify project requirements, and develop proposals including costing, durations and required resources.

How You Will Do It

As an intern, you will work closely and support the team in the following activities:


Conceptualize composite components and models, develop drawings, designs and schematics (e.g. 3D modelling of finished goods, tooling)
Analyze blueprints, plans, relevant customer documents to identify and propose requirements
Generate cost estimation based on project requirements
Facilitate and support project findings, relevant operation trainings, closing and handover process
Act as a liaison between internal and external project stakeholders


What We Look For


Pursuing a relevant degree or diploma for built environment (e.g. electrical/mechanical/mechatronics engineering) 
Prior experience and/or interest in building management systems/thermodynamics/ architecture
Prior experience and/or interest in utilizing CAD will be beneficial
Able to commit to a full-time internship for 6 months
Possess good communication and interpersonal skills
Possess critical thinking and problem-solving skills 
Motivated and passionate to challenge status quo and drive for continuous improvement



Posted on Jan 30, 2024."
HR Ecosystem (Computer Science) Intern,Scoot,,,https://www.linkedin.com/jobs/view/3787863589/?eBP=CwEAAAGOTDGgvUnr4vh74ov3IFVzy1KDXURLqLHhEcNwP_gQAyJvlBWxpjrE_n7oZWirFmLzuC2bqOqkPezWjkmXj-CN4OhUE-tkbP0puhc0elKVoxsVOCtRzK0ozfVh8iTSaCFQZupcd0GXX_cUGIUeK4Wm3ZQKIud_mGhYDBfdmOn95VAAaslPm9R4QkFOPU0CFL2sGE-JF5rTkuwspcucLatbCWx_VxMONj67eFQPizrLSI2QpJ-zB2_2ECGy-2QFHfBpWJM_teR63KKN92W4pykNNGDaEI-UxG9CJpX59010WF-P1DE1UVgtBSdOTNDmiFyyCN0inXuhj7t3hN64wnMIOtI5gFcLkXeVhvfX3BUIa3uUWcnA_-tO9B2cuphfb_SAQH7XxQfIUZf7l00z4M23Yg&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=Lc9bqsEE0HkYbndCAgkLpQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Summary

We are looking for an HR Ecosystem Intern who will work under the mentorship within the HR Ecosystem team to build high utilisation Chat Bots for Scoot Employees that is part of our Employees’ Chat Bot Strategy

Job Description

Responsibilities 


Collaborate with internal HR process owners as well as other stakeholders to deliver Chat Bot and Robotic Process Automation (RPA) solutions using Automation Anywhere
Develops, builds, tests, implements, maintains and enhances Workato Chat Bot* and RPA solutions under mentorship and contribute to the successful roll-out
Support Process/system improvement for organization wide HR processes and related employee touchpoints processes
Recommends and implements solutions that enhance work efficiency and/or employee experience
Students with programming and scripting abilities may also be involved in Workday Extend projects to build employee experience driven Workday applications
Be involved in any other HR events and activities


Workato Chat Bot

This is a Chat Bot project leveraging on Workato and Workplace Chat(by Meta) technologies that allows Scoot Employees to connect with various systems such as HR System(Workday), HR Service Management System(ServiceNow), Rostering System etc.

Projects

Workato, WD Extend, RPA


Posted on Dec 26, 2023."
"Intern, ITW",Rakuten Viki,,,https://www.linkedin.com/jobs/view/3819944569/?eBP=CwEAAAGOTDGgvU5QGiHPCM9D12cG0zhqZhPQMIXtllTBDLeVZ282twnNyA9D5C94UlzDAAlUA-rDlXdGALQmOmNtNFnzIuBEFTKCOTl7mXavNeAPn5Lj8fzAgs0veClpWAUdlJE00KSf7sGEO7UCsVUsorGkTSd_2mGqNLMMUiFizVhni_-aclJ7bXuOC-dKLR0_5dHKyB9tZnCpPntuVl7fhRvGU-LRmQqF-C4NxE1n7Haz3r19UGFfVgpElol9_MORMbZINcY8rLjFGXqThTg7VtQooW4AXldvEytfNUFHEzR6dMKV9w4LP0e_liW8tOyCAfDExwzv6RFzP_1DydhWbu7dUrCquUwFAMt_6FGOUZl5lAlWWESa8ZCch9AKQSgTC6m6LvZi19GI2gBAD_kRGYU&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=jvwAw09OKekGBdsUWn6Gqw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Job Description:

Rakuten Group, Inc. is the largest e-commerce company in Japan, and third largest e-commerce marketplace company worldwide, with over 1.5 billion registered users worldwide. The Rakuten brand is recognized worldwide for its leadership and innovation, and provides a variety of consumer and business-focused services including e-commerce, e-reading, travel, banking, securities, credit card, e-money, portal and media, online marketing and professional sports. The company is expanding globally and currently has operations throughout Asia, Western Europe, and the Americas.

Rakuten Viki is a premier global entertainment streaming site where millions of people discover and consume primetime shows and movies subtitled in more than 200 languages, by our community of fans. With billions of videos viewed and more than 1 billion words translated, Viki brings global entertainment to fans everywhere!

The Internal Tools & Workflows Team (Full Stack Development) is responsible for building and maintaining systems that are a gateway into all business workflows at Rakuten Viki. It is crucial to a wide range of business teams, ranging from Content Operations, Marketing, Legal, Finance, Customer Experience, Product, and Engineering teams. We are scaling in terms of data we handle and adding a number of interesting workflows and features to this system.

Requirements:


Undergraduates who are currently pursuing a Bachelor’s Degree in Computer Science, Computer Engineering or equivalent fields
Any prior part-time, internship or personal project experience in software engineering will be a plus
Passionate about learning new technologies and solving engineering problems
Able to work for at least 12 weeks on a full-time basis


Rakuten provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type. Rakuten considers applicants for employment without regard to race, color, religion, age, sex, national origin, disability status, genetic information, protected veteran status, sexual orientation, gender, gender identity or expression, or any other characteristic protected by federal, state, provincial or local laws.

Posted on Feb 6, 2024."
Legal Intern,MEXC,,,https://www.linkedin.com/jobs/view/3847880992/?eBP=CwEAAAGOTDGgvYwsNgk46hql7GxPUtSn-ZBXjS7lRj74ne78qXgw-emTKDMJ_cihDEPx6MD2fMvIv28OJTmJYQ3FkwiOe57-LOOm_L9qF80IMfrpldbUXMGVvhX7XVruJBkhxylsn1ZPxhqrq_darCGj15fD0Rok8kXASjAQbonbIWqOI9p5-fSKE5fCCliONylF7nKm5-sFVbX4MtBd0af__hr4lQHvokh53mYaMvfwpZOPspWf-HqY2K8mlzAAu3Wa7FjFwge9IC1l8X774gaOrP3JETIfQcXPBiHakrl5YX-dyF2X91VfPM600XWPzuUKUeG6Q7X-zpj3Wm4hz8xYawwcIsefUao1MNAL6H-ZRcyQy8Yup_o5hXkphKAPQrhk5_-ESplbYTh7GBCqUmKEdF8&refId=oJBZk2CzfiKxNhKLdpNk3w%3D%3D&trackingId=yl6FWQAVpwQ2G1PwKoGnig%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

MEXC is one of the fastest-growing global digital asset exchanges by trading volume and users, serving a mission to empower people around the world to achieve financial success through crypto. MEXC is the go-to listing partner for many high-growth crypto projects in their early stages.




We are seeking a motivated and enthusiastic Legal Intern to join our team.




Job Responsibilities:

Review and analyze contracts, including user agreements, terms of service, and partnership agreements.
Assisting in drafting legal documents and contracts, ensuring compliance with applicable laws and regulations.
Contribute to the development and enforcement of data privacy and security policies.
Assist in preparing documentation including gathering evidence, conducting legal research, and drafting legal correspondence.
Stay abreast of developments in blockchain technology, and related fields.
Work closely with compliance, operations, and other departments to ensure a holistic and integrated approach to legal and regulatory matters.




Qualifications:

University undergraduate is welcome to apply.
Proficient in written and oral communication skills for both English and Chinese.
Strong interest in fintech and blockchain industry.
Knowledge of regulatory frameworks relevant to blockchain industry.
Excellent research, analytical, and communication skills.
Ability to adapt to a rapidly evolving regulatory landscape.

Posted on Mar 7, 2024."
