Title,Company,Company Link,Date Posted,Job Link,Insights,Description Snippet,category
IT Digital Product Manager BIM / Construction,Randstad Singapore,,19/3/24,https://www.linkedin.com/jobs/view/3863416856/?eBP=NON_CHARGEABLE_CHANNEL&refId=5IbmS6BPcNhTPSuZGDrimw%3D%3D&trackingId=s0dyiojQYk5RkwcNSgJW4Q%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
Autonomy to make key decision for a new inhouse built BIM software that have the potential to help create a competitive advantage
High job stability with high company revenue

About the company

Our Client is a multi billon dollar company within their industry. They have a well-established presence with a global footprint of more than 5 countries. With rapid expansion plan, they are now looking for a new IT Digital Product Manager / Project Manager - BIM / Civil Engineering / Construction to be a part of their regional HQ here in Singapore

About the job


 You will be responsible for:

Spearheading the market research, pilot projects, and launch of the new digital transformation service online application. This application leverages the BIM technology to drive data-driven construction processes. By facilitating the integrated use of diverse building and construction-related data, the objective is to visualize and streamline project workflows, connecting stakeholders and ultimately driving efficiencies such as waste reduction and CO2 emissions mitigation, alongside enhanced productivity.

Proactively identifying new opportunities for this new application adoption platform among key AEC stakeholders such as General Contractors and Sub-Contractors.

Engaging with Architects, General Contractors, and Sub-contractors to conduct comprehensive market research, gather feedback, and analyze data.

Presenting and disseminate research findings to the Digital transformation and Marketing Team.

Securing and oversee new platform Pilot Projects in collaboration with key AEC stakeholders.

Cultivating strong partnerships with General Contractors, Sub-contractors, and Suppliers/Manufacturers to drive this new platform adoption.

Coordinating with Government Authorities to facilitate the acceptance and integration of this new application.

 

skills and experience required

As a successful applicant, you will have at least 5 years of experience in IT product management or project management. Construction / civil engineering industry background or experience with BIM / =- Building information management / modelling is required for this role.

Whats on offer

This is an excellent opportunity to drive a new product / project in an established company.

To apply online please use the 'apply' function, alternatively you may contact Hoon Teck TAN at https://www.linkedin.com/in/hoonteck-nologyrecruitment/. (EA: 94C3609/ R1219669)


Desired Skills and Experience

building information modeling, BIM Software, BIM Modeling, construction, civil engineering, technology product development, IT project implementation, IT business management, IT business analysis, IT project & program management


Posted on Mar 19, 2024.",senior
Business Development Manager (Banking),Achieve Group,,19/3/24,https://www.linkedin.com/jobs/view/3861509722/?eBP=NON_CHARGEABLE_CHANNEL&refId=s%2B%2F1xbaH3U7Aq%2FiNOMmujg%3D%3D&trackingId=NIrkEVgk0%2FRj%2BlQWd6HlLw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Business Development Manager (Global MNC Bank) – High Commission + Attractive benefits 




Location: Changi Business Park / CBD

Salary: Up to $3,900 or higher (Salary will commensurate with experience)

Working hours: Mon – Fri (Office Hour)




Responsibilities

• Acquisition of new to bank Priority Sign Ups Sales

• Provide wider range of retail and priority products such as unsecured cards and insurance to targeted segments. E.g CASA, treasury, equity, funds, banca, loans, credit cards, investment

• Establish relationship with internal stakeholders within CA, and external stakeholders (E.g. Property agents, brokers, related other external sales agents) to increase referrals for Priority Clients)

• Engaging affluent and mass market clients for their Priority Sign up requests from internal stakeholders through marketing campaigns, mortgage enquiries and employee banking’s events, networking events and roadshows

• Able to perform off-office hours and weekend activities when required (Networking events, campaigns, and roadshows)

• Keep abreast of market trends and competitor offsprings, and conduct regular market updates differentiation in relation to external competition




Requirements

• Diploma/Degree holder

• At least 3 years’ experience in banking

• Strong understanding of banking products

Posted on Mar 19, 2024.",senior
"Senior Manager / Manager, Programmes and Outreach - FMMD",Ministry of Manpower,,19/3/24,https://www.linkedin.com/jobs/view/3857539743/?eBP=NON_CHARGEABLE_CHANNEL&refId=s%2B%2F1xbaH3U7Aq%2FiNOMmujg%3D%3D&trackingId=tLjqw30IjAF5YOlvD7uxSg%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
What The Role Is

The Engagement Department of the Foreign Manpower Management Division (FMMD) is dedicated to working with key stakeholders, such as government agencies, community partners and non-governmental organisations (NGOs) to improve the well-being of the 1.4 million-strong migrant workforce in Singapore. It is a challenging endeavour but also presents many exciting opportunities for the co-creation of solutions in caring for and uplifting our migrant workers (MW) and migrant domestic workers (MDW). The department is also responsible for developing effective communication strategy to support the Division’s vision, mission and key enforcement efforts. It organises education, comms and outreach programmes and initiatives to ensure that MWs, MDWs and key stakeholders are aware of their rights, obligations, including development in our policies and regulations.

What You Will Be Working On

As a member of the Programmes & Outreach team, you will be responsible for the design and management of programmes to educate MDWs, employers and employment agencies. Examples of such programmes include the MDW Settling-In Programme for first-time MDWs, Employers’ Orientation Programme for first-time MDW employers as well as the Certificate of Employment Intermediaries that equips employment agency personnel with knowledge of employment laws and regulations. You will also be in charge of evaluating and appointing training providers to administer these programmes.

The candidate will also administer a scheme in the marine sector to ensure that the well-being of MWs is safeguarded.

What We Are Looking For

 At least 3-5 years of related working experience (e.g. HR, training, customer service, programmes, enforcement)

 Excellent verbal and written communication, and interpersonal skills

 Resourceful, meticulous and resilient

 Good team player; able to work independently

 Strong analytical and problem-solving skills

 Experience in government procurement will be an advantage

Posted on Mar 14, 2024.",senior
"Senior/Principal Executive (Outreach & Engagements), Youth Development",National Trades Union Congress (NTUC),,19/3/24,https://www.linkedin.com/jobs/view/3812161338/?eBP=NON_CHARGEABLE_CHANNEL&refId=eocZKArylD2k0yVRy6UnYw%3D%3D&trackingId=AQ0bF6rqdKRN4pMgAbYT8g%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Young NTUC is the youth wing of the National Trades Union Congress (NTUC). Since our founding in April of 2005, Young NTUC has grown to over 150,000 members aged 35 years and below. Young NTUC supports youth throughout their professional and personal journey to achieve their aspirations through a multitude of purposeful activities and opportunities. In collaboration with a vast number of partners ranging from unions to companies to government agencies, we can provide career discovery and navigation, workplace protection and support, leadership development, mental well-being resources, holistic personal development and many more.

 




RESPONSIBILITIES:

Design and implement engagements and initiatives aimed at increasing awareness and participation in Young NTUC programmes, ultimately boosting membership among youths.
Develop and maintain partnerships with multiple internal and external stakeholders, including coordinating varying modalities of engagement to engage youths.
Ensure alignment and collaboration with the Programmes & Partnerships team and the Membership team.
Manage day-to-day activities and administration of assigned Young NTUC initiatives, including engagement and relationship building, programme co-ordination, providing secretariat support for meetings, reporting, budgeting, as well as tracking and measuring outcomes.
Manage additional duties as assigned, particularly in relation to outreach and engagements.

 




REQUIREMENTS:

Degree holder in any discipline.
At least 3-6 years' work experience
Possess project and resource management skills to handle concurrent work assignments and deliver high quality-work within tight deadlines.
Have excellent communication skills and inter-personal skills
Able to work on some weekday evenings and Saturdays.
Comfortable to travel across various locations where the different IHLs are.
Good understanding of the dynamics and challenges of youth (IHL youths and first jobbers specifically) sector.







Only shortlisted candidates will be notified.

Posted on Jan 24, 2024.",senior
"Senior Officer, Unit Trust Operations, Retail Investment Operations Centre",UOB,,18/3/24,https://www.linkedin.com/jobs/view/3821933298/?eBP=NON_CHARGEABLE_CHANNEL&refId=ROKx6CCM1GYMMVzK%2BTSEyg%3D%3D&trackingId=CCnYm6EzFLNwsYA4yq1LLw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values – Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About The Department

Group Technology and Operations (GTO) provides software and system development, information technology support services and banking operations.

We have centralized and standardized the technology components into Singapore, creating a global footprint which can be utilized for supporting our regional subsidiaries and the branches around the world. We operate and support 19 countries with this architecture to provide a secure and flexible banking infrastructure.

Our Operations divisions provide transactional customer services for our businesses while also focusing on cost efficiency through process improvements, automation and straight through processing.

Job Responsibilities


Acts as liaison person between business and outsourced vendor to ensure timely transaction processing of Unit Trust and service delivery of client’s requirements.
Preparing of UT (Unit Trust) instructions to UOB vendor for processing.
Update UT account opening and demographic detail
Queries Handling from Internal and External parties within the agreed timeline.
Ad hoc clean up exercise and Projects.
Support Businesses and other stakeholder for all initiatives and new product embarked on
Monitor procedures and ensure compliance to regulatory and internal guidelines. Review existing SOP and timely update for new processes. 
Ensure processes are performed within agreed turnaround times with NIL errors/delays
Detect and escalate exceptions promptly & track for closure
Participate in projects discussion, share inputs for process improvements and work closely with Superiors


Job Requirements


Bachelor Degree holder with 1 year of working experience 
Open to entry level, training provided 
Proficient in MS office - Excel, Power point, Word
Good verbal and written communication skills to effectively interact with colleagues and external parties.
Ability to work independently and in teams
Dedicated, self-driven and highly motivated
Good attitude, open-minded and able to work in a fast-paced and changing environment
Open to contract role, until end of the year. 


Be a part of UOB Family

UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application.

Apply now and make a difference.

Posted on Feb 5, 2024.",senior
"Senior Officer, Fraud Team, Contact Center",UOB,,18/3/24,https://www.linkedin.com/jobs/view/3821931558/?eBP=NON_CHARGEABLE_CHANNEL&refId=ROKx6CCM1GYMMVzK%2BTSEyg%3D%3D&trackingId=oUkGauQRIqlTm6Y%2FwwqgOw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values – Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About The Department

Group Technology and Operations (GTO) provides software and system development, information technology support services and banking operations.

We have centralized and standardized the technology components into Singapore, creating a global footprint which can be utilized for supporting our regional subsidiaries and the branches around the world. We operate and support 19 countries with this architecture to provide a secure and flexible banking infrastructure.

Our Operations divisions provide transactional customer services for our businesses while also focusing on cost efficiency through process improvements, automation and straight through processing.

Job Responsibilities


 Review and assess scam related cases from Contact Centre to identify, liaise and resolve customer issues completely and promptly. 
 Ensure validity of each case escalated prior to escalating out to Fraud Support Team, Business Unit, Servicing Units and ensure quality of servicing is maintained. 
 Liaises with other business owners and stakeholders for acknowledgement, follow-up on any actions and feedback requested by customers through Fraud Support Team is carried out efficiently and within timeline 
 Observe all follow-up within internal and external parties to resolve requests/feedback promptly within the established service turnaround time. 
 Ensures respective business owners acknowledge escalation requests and resolves the customers’ requests promptly within the established service turnaround time. 
 Monitor Business Unites and Servicing Units adherence to rules, regulations and procedures and escalate to respective senior management promptly. 


Job Requirements


 Degree/ Diploma in any discipline. 
 Good written and spoken communication skills in English, with ability to influence and persuade stakeholders. 
 Possess excellent telephone, active listening and strong interpersonal skills, resourceful and able to work independently and as a team. 
 A strong customer service mindset with good communication and problem-solving skills to represent the Bank to customers. 
 Able to work weekends and PH. 


Be a part of UOB Family

UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application.

Apply now and make a difference.

Posted on Feb 5, 2024.",senior
Senior Executive – Online2Offline Customer Experience,Mercedes-Benz Singapore,,18/3/24,https://www.linkedin.com/jobs/view/3858198057/?eBP=NON_CHARGEABLE_CHANNEL&refId=YT54Wv2ewgxS5NvfSfmnxw%3D%3D&trackingId=e0SX07F1hUqV%2BrBmMsj9OQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

This position is for a highly charged individual who has an eye for all things luxury. You will be part of the Customer Excitement team within Mercedes-Benz Singapore tasked to ensure best-in-class customer experience across all customer touchpoints, be it online or offline. As part of our new strategy to put our customers at the very center, you will be part of the team involved in this transformation and be part of all the efforts to further elevate Mercedes-Benz as a luxury brand here in Singapore. This position reports to the Head of Customer Excitement who oversees Brand & Content Marketing, Customer Journey & Retail Network Management & Digital Business.

 




Objective of the Job:

Bridge the gap between the customer and the Mercedes-Benz brand by ensuring that each touchpoint across the customer journey is engaging, efficient, and effective.
As our Salesforce (SFDC) Data Steward, ensure the highest quality of customer data in SFDC through the cleaning up of data, training of the retail floor and continually reviewing the data collection process.
Consolidate, track and distribute related digital KPIs (from website visitors to leads to actual conversions) with team members to facilitate development of necessary countermeasures in the different Customer Excitement fields.
Support in the ideation, planning and execution of Marketing events.
Act as the first contact person for the other internal business units, e.g. Vans, Financial Services and Customer Services to ensure a solid alignment of the marketing plans.
Champion opportunities to consistently improve the customer experience across all touchpoints, e.g. via customer feedback through Customer Satisfaction Index, brand sentiment studies, mystery shopping exercises, etc.




Qualifications:

University degree or equivalent.
Experience in Marketing, customer experience and journey design and/or behavioural economics.
Experience in working with SFDC and Salesforce Marketing Cloud (SFMC).
Ability to build and maintain relationships with external stakeholders and internal cross-functional team members.
Strong project management abilities.
Customer-oriented.
Understand the value chain of the automotive industry and care about the customer's needs and buying behaviour.




This position is based in Singapore. A valid and approved work visa is required for employment in Singapore in accordance to local labour law regulations. We regret to inform you that only shortlisted candidates will be notified.

Posted on Mar 18, 2024.",senior
"Senior Officer, Customer Service (Inbound), Contact Center",UOB,,18/3/24,https://www.linkedin.com/jobs/view/3861668066/?eBP=NON_CHARGEABLE_CHANNEL&refId=YT54Wv2ewgxS5NvfSfmnxw%3D%3D&trackingId=M4n9xR16oA3Q5Te8AxWw4g%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values – Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About The Department

Group Technology and Operations (GTO) provides software and system development, information technology support services and banking operations.

We have centralized and standardized the technology components into Singapore, creating a global footprint which can be utilized for supporting our regional subsidiaries and the branches around the world. We operate and support 19 countries with this architecture to provide a secure and flexible banking infrastructure.

Our Operations divisions provide transactional customer services for our businesses while also focusing on cost efficiency through process improvements, automation and straight through processing.

Job Responsibilities


 Ensures highest standard of service delivery to our customers. 
 Monitor and respond to incoming calls/emails/social media platform/written correspondences 
 Maintains confidentiality of the Bank’s customers and data. 
 Identifies and resolves customer issues and enquires received via calls/mail/emails/social media platforms completely, accurately within the committed turnaround time and in accordance with Contact Centre standards to ensure contact handling accuracy and operational effectiveness 
 Uses customer service and sales skills to optimize the opportunity of each customer contact. 
 Educates the customer about the Bank’s products and services and directs them toward available resources for self-help. 
 Resolves customer complaints and problems to the satisfaction of the customer, and completes accurately the necessary documentation of complaints, issues and subsequent solutions. 
 Ensure group compliance & control standards are observed and met in the execution of customers’ transaction requests 


Job Requirements


 Degree/ Diploma in any discipline. 
 Experience in Call Centre, Banking or Customer Service (calls and correspondents) environment will be an advantage. 
 Possess a positive mindset with a “CAN-DO” attitude and passion to deliver quality customer service. 
 Possess a pleasant voice, excellent comprehension, communication, interpersonal skills and work etiquette. 
 Possess good command of written and spoken English. 
 Good analytical skills; passion for working and is good in working with numbers. 
 Resourceful, proactive, results-driven, attentive to details and a good team player who likes to work in a fast-paced changing environment. 
 Passion for working, responsible and with good working attitude. 
 Proficient in PC skills including MS Office applications. 
 Ability to work on staggered/rotational shifts including weekends and Public Holidays to support 24x7 Contact Centre service operations. 


Be a part of UOB Family

UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application.

Apply now and make a difference.

Posted on Mar 18, 2024.",senior
Executive/Senior Executive (Administration),National University of Singapore,,18/3/24,https://www.linkedin.com/jobs/view/3858167594/?eBP=NON_CHARGEABLE_CHANNEL&refId=YT54Wv2ewgxS5NvfSfmnxw%3D%3D&trackingId=ViRY7jfIbGCDbXi313t%2FdQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

About the faculty

Founded in the same year that Singapore gained independence, NUS Business School stands today among the world’s leading business schools. It is distinctive for offering the best of global business knowledge with deep Asian insights, preparing students to lead Asian businesses to international success and to help global businesses succeed in Asia.

 

For more than 50 years, NUS Business School has offered a rigorous, relevant and rewarding business education to outstanding students from across the world. That would not have been possible without a group of dedicated professionals who are passionate about building a positive environment to grow and groom future business leaders. And we are looking to add to our BIZ family!

 

To learn more about the NUS Business School, please visit https://bschool.nus.edu.sg/




Job Description

Assist the Manager and Head of Department in ensuring smooth running of the day-to-day operations on but not limited to faculty staff matters, seminars, examinations and teaching administration, grant proposals and administration, office workflow, appointments, and general correspondence
Provide events and logistical support in coordinating seminars and workshops
Provide secretarial and administrative support to the department and faculty
Respond and duly facilitate the faculty's request for admin support in a timely manner
Any other duties as assigned by the Department




Qualifications

University degree with preferably 2-3 years working experience in office administration, within an education setting
Strong oral and written communication skills with a flair for writing
Possess good interpersonal and time management skills
Possess a positive learning attitude and willingness to accept responsibilities and challenges
Proactive, outgoing, resourceful, results-orientated and meticulous
A good team player with the ability to prioritize, multi-task and work under pressure
Proficient in MS Office applications - Excel, PowerPoint, Outlook etc,
Able to work independently with minimum supervision

 




More Information

Location: Kent Ridge Campus

Organization: School of Business

Posted on Mar 18, 2024.",senior
Account Manager,Financial Times,,18/3/24,https://www.linkedin.com/jobs/view/3860134874/?eBP=NON_CHARGEABLE_CHANNEL&refId=ywydO%2FiqJexylAusfk4NCQ%3D%3D&trackingId=eWoLQ3YTeaeZZ23L28jsLQ%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job
About Us

The FT has an uncompromising mission: delivering independent, quality information, news and services to individuals and companies around the globe. It’s the cornerstone of our reputation and the heart of our ambitions for the future. But for our people, the FT offers so much more than what we do. FT people come from all kinds of backgrounds and work across a huge range of disciplines and locations, and find an empowering, warm and welcoming culture that values curiosity and rewards smart, ambitious thinking. Those who are willing to unite around our mission and live our values will find plenty to challenge, inspire and interest them. Like the audiences we serve, no two FT people are the same; but together we help our audience be better informed and understand the world around them. It’s a job that’s never mattered more, and a career that can take you anywhere you want to go.

Our commitment to diversity and inclusion in the workplace

At the FT, we give all employees a voice so that diverse perspectives are heard and valued. We believe that a supportive workplace is one where employees feel they can be themselves at work. We'll continue to remove barriers for all, and in particular barriers facing employees from underrepresented groups.

Job Purpose

The Account Manager will develop relationships with our client and agency partners across all levels and support them to solve business challenges, and drive meaningful results. To collaborate on major initiatives and see them through to success, while being a primary contact for our partners.

The ideal candidate will have experience of selling across both print and digital, particularly digital. He/She will be self-motivated and have a drive to develop new relationships and build new business. In addition, a proactive mindset is crucial, particularly within the area of developing content ideas and solutions, not resting on their laurels but always looking for opportunities to deliver incremental revenue across their patch.

What You'll Do


Identify, manage, and grow strategic partnerships with customers and agencies in Singapore. 
Solve partner business challenges by way of critical thinking and teamwork that produces industry leading business plans for large customers
Work with clients and agencies to cross sell and up-sell opportunities that contribute to the team's ability to exceed revenue targets 
Able to understand client’s marketing approaches and objectives, and demonstrate how these principles have been used to guide on the response to briefs
Track, analyse, and communicate key metrics and business results that improve campaign performances 
Efficient usage and up to date knowledge of Salesforce and other internal data/tech dashboards.
Be on top of the website developments including editorial coverages / features, new products and its traffic 
Working closely with the advertising agencies on a regular basis and have constant conversations on a variety of clients; from big solution pitches to trading and programmatic.
Proactively identify new target clients for FT Marketing Services offering. 
Use LinkedIn to conduct social selling and prospecting.
Work closely with the Global Marketing team to help promote FT in Singapore and SEA. 
Produce high quality proposals and presentations
Ensure smooth and successful execution of campaigns by closely working with the Asia team; Planning, Production, Project Management, Audience Marketing and Campaign Management. 
Collaborate with the content solutions business development manager to accelerate the sales of FT content solutions.
Work closely with the campaign management team to identify regionally packaged display products for regional clients. 
Collaborate with 3rd party reps around South East Asia to help them win business for the FT.
Work on client relationships and campaign management with partnerships in India. 


What We're Looking For


Experienced in marketing/advertising/digital, with specific acumen across data and measurement. 
Ideal candidate would have experience either in Ad Sales or in Ad Agency business development 
B2B experience preferred but not essential. 
Established industry relationships and experience working with executive level business and marketing leaders within client organisations.
Excellent presentation, communication, and collaborative skills. 
Analytical skills that can translate raw data from metrics into a performance measurement narrative that scales value for clients. 
An excellent understanding of current digital advertising strategies and technologies will be essential. 
Has a meticulous nature with excellent written and verbal communication skills in English. 
Ability to work collaboratively and in situations where direct authority is absent 
Has a motivated nature with the ability to prioritise and multi-task 
A proven track record working with multiple organisations and departments to create, convince and execute communication plans. 
Proactive in approach to new business. 


What’s in it for you? Our Benefits

Our benefits vary depending on location, but we are committed to providing best in class perks across all our offices as well as an inclusive environment to develop your career. Examples of our benefits include; generous annual leave allowances, flexible working (including working from home), medical cover, enhanced maternity & paternity packages, subsidised gym memberships and Giving Back opportunities. Full details of our benefits can be found here.

Further Information

The FT is committed to providing an inclusive working environment for all. We are an equal opportunities employer who seeks to recruit and appoint the best talent regardless of age, gender, ethnicity, disability, sexual orientation, gender identity, socio-economic background, religion and/or belief. We have implemented a hybrid working model and we also promote flexible working and will consider specific requests around flexibility for all roles where it can be accommodated. Please let us know if you require any adjustments as part of the application process or to enable you to attend an interview. If you would like to discuss your requirements, or have any questions, talent@ft.com and a member of our team will be happy to help.



Posted on Mar 17, 2024.",senior
